,Unnamed: 0,代码,名称,类型,时间,涨幅,净值
2935,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-30,3.63,1.6840
2936,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-29,-4.86,1.6250
2937,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-28,3.96,1.7080
2938,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-27,-2.72,1.6430
2939,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-24,-6.74,1.6890
2940,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-23,-1.68,1.8110
2941,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-22,5.14,1.8420
2942,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-17,-5.6,1.7520
2943,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-16,-0.16,1.8560
2944,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-15,0.76,1.8590
2945,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-14,-1.81,1.8450
2946,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-13,3.3,1.8790
2947,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-10,-3.4,1.8190
2948,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-09,5.37,1.8830
2949,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-08,3.24,1.7870
2950,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-07,4.59,1.7310
2951,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-06,2.03,1.6550
2952,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-03,-2.35,1.6220
2953,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-02,4.4,1.6610
2954,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-09-01,-3.34,1.5910
2955,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-31,4.71,1.6460
2956,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-30,3.08,1.5720
2957,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-27,0.07,1.5250
2958,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-26,3.25,1.5240
2959,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-25,3.87,1.4760
2960,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-24,1.21,1.4210
2961,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-23,3.24,1.4040
2962,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-20,-0.87,1.3600
2963,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-19,-1.86,1.3720
2964,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-18,0.0,1.3980
2965,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-17,-2.65,1.3980
2966,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-16,0.21,1.4360
2967,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-13,1.13,1.4330
2968,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-12,1.21,1.4170
2969,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-11,4.87,1.4000
2970,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-10,0.53,1.3350
2971,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-09,0.68,1.3280
2972,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-06,3.78,1.3190
2973,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-05,0.79,1.2710
2974,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-04,4.21,1.2610
2975,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-03,-2.89,1.2100
2976,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-08-02,-2.35,1.2460
2977,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-30,1.92,1.2760
2978,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-29,1.46,1.2520
2979,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-28,-0.96,1.2340
2980,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-27,-2.27,1.2460
2981,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-26,-0.62,1.2750
2982,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-23,0.79,1.2830
2983,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-22,1.03,1.2730
2984,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-21,-0.79,1.2600
2985,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-20,1.03,1.2700
2986,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-19,0.16,1.2570
2987,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-16,2.2,1.2550
2988,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-15,0.57,1.2280
2989,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-14,0.91,1.2210
2990,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-13,3.68,1.2100
2991,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-12,0.34,1.1670
2992,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-09,2.56,1.1630
2993,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-08,-3.9,1.1340
2994,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-07,-1.5,1.1800
2995,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-06,0.08,1.1980
2996,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-05,2.13,1.1970
2997,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-02,-0.17,1.1720
2998,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-07-01,-1.92,1.1740
2999,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-30,0.67,1.1970
3000,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-29,-1.57,1.1890
3001,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-28,-5.11,1.2080
3002,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-25,3.24,1.2730
3003,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-24,0.49,1.2330
3004,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-23,3.37,1.2270
3005,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-22,1.11,1.1870
3006,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-21,-1.59,1.1740
3007,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-18,-2.05,1.1930
3008,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-17,0.58,1.2180
3009,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-16,-0.57,1.2110
3010,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-15,-0.41,1.2180
3011,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-11,0.66,1.2230
3012,3,168204,中融中证煤炭指数(LOF),指数型-股票,2021-06-10,-0.74,1.2150
