,Unnamed: 0,代码,名称,类型,时间,涨幅,净值
1446,1,005669,前海开源公用事业股票,股票型,2021-09-30,4.11,3.1772
1447,1,005669,前海开源公用事业股票,股票型,2021-09-29,-2.6,3.0519
1448,1,005669,前海开源公用事业股票,股票型,2021-09-28,0.08,3.1334
1449,1,005669,前海开源公用事业股票,股票型,2021-09-27,-3.13,3.1309
1450,1,005669,前海开源公用事业股票,股票型,2021-09-24,0.68,3.2319
1451,1,005669,前海开源公用事业股票,股票型,2021-09-23,1.47,3.2101
1452,1,005669,前海开源公用事业股票,股票型,2021-09-22,-0.57,3.1637
1453,1,005669,前海开源公用事业股票,股票型,2021-09-17,-0.08,3.1819
1454,1,005669,前海开源公用事业股票,股票型,2021-09-16,-4.75,3.1845
1455,1,005669,前海开源公用事业股票,股票型,2021-09-15,0.17,3.3434
1456,1,005669,前海开源公用事业股票,股票型,2021-09-14,1.54,3.3377
1457,1,005669,前海开源公用事业股票,股票型,2021-09-13,-0.78,3.2870
1458,1,005669,前海开源公用事业股票,股票型,2021-09-10,0.73,3.3130
1459,1,005669,前海开源公用事业股票,股票型,2021-09-09,1.0,3.2891
1460,1,005669,前海开源公用事业股票,股票型,2021-09-08,-0.48,3.2566
1461,1,005669,前海开源公用事业股票,股票型,2021-09-07,1.95,3.2722
1462,1,005669,前海开源公用事业股票,股票型,2021-09-06,1.66,3.2095
1463,1,005669,前海开源公用事业股票,股票型,2021-09-03,-2.74,3.1571
1464,1,005669,前海开源公用事业股票,股票型,2021-09-02,2.52,3.2462
1465,1,005669,前海开源公用事业股票,股票型,2021-09-01,-4.07,3.1663
1466,1,005669,前海开源公用事业股票,股票型,2021-08-31,1.02,3.3007
1467,1,005669,前海开源公用事业股票,股票型,2021-08-30,2.07,3.2675
1468,1,005669,前海开源公用事业股票,股票型,2021-08-27,1.2,3.2013
1469,1,005669,前海开源公用事业股票,股票型,2021-08-26,-1.17,3.1632
1470,1,005669,前海开源公用事业股票,股票型,2021-08-25,1.54,3.2005
1471,1,005669,前海开源公用事业股票,股票型,2021-08-24,1.0,3.1519
1472,1,005669,前海开源公用事业股票,股票型,2021-08-23,4.42,3.1208
1473,1,005669,前海开源公用事业股票,股票型,2021-08-20,0.09,2.9886
1474,1,005669,前海开源公用事业股票,股票型,2021-08-19,2.42,2.9860
1475,1,005669,前海开源公用事业股票,股票型,2021-08-18,0.03,2.9155
1476,1,005669,前海开源公用事业股票,股票型,2021-08-17,-1.35,2.9145
1477,1,005669,前海开源公用事业股票,股票型,2021-08-16,-4.38,2.9544
1478,1,005669,前海开源公用事业股票,股票型,2021-08-13,-0.41,3.0896
1479,1,005669,前海开源公用事业股票,股票型,2021-08-12,-0.63,3.1023
1480,1,005669,前海开源公用事业股票,股票型,2021-08-11,2.8,3.1220
1481,1,005669,前海开源公用事业股票,股票型,2021-08-10,-1.2,3.0371
1482,1,005669,前海开源公用事业股票,股票型,2021-08-09,-3.02,3.0741
1483,1,005669,前海开源公用事业股票,股票型,2021-08-06,1.49,3.1698
1484,1,005669,前海开源公用事业股票,股票型,2021-08-05,-0.59,3.1234
1485,1,005669,前海开源公用事业股票,股票型,2021-08-04,7.69,3.1418
1486,1,005669,前海开源公用事业股票,股票型,2021-08-03,-4.83,2.9175
1487,1,005669,前海开源公用事业股票,股票型,2021-08-02,1.83,3.0656
1488,1,005669,前海开源公用事业股票,股票型,2021-07-30,2.17,3.0104
1489,1,005669,前海开源公用事业股票,股票型,2021-07-29,6.92,2.9464
1490,1,005669,前海开源公用事业股票,股票型,2021-07-28,0.55,2.7556
1491,1,005669,前海开源公用事业股票,股票型,2021-07-27,-5.04,2.7406
1492,1,005669,前海开源公用事业股票,股票型,2021-07-26,0.35,2.8862
1493,1,005669,前海开源公用事业股票,股票型,2021-07-23,-0.7,2.8760
1494,1,005669,前海开源公用事业股票,股票型,2021-07-22,2.52,2.8964
1495,1,005669,前海开源公用事业股票,股票型,2021-07-21,5.41,2.8253
1496,1,005669,前海开源公用事业股票,股票型,2021-07-20,1.07,2.6804
1497,1,005669,前海开源公用事业股票,股票型,2021-07-19,-1.41,2.6520
1498,1,005669,前海开源公用事业股票,股票型,2021-07-16,-2.37,2.6900
1499,1,005669,前海开源公用事业股票,股票型,2021-07-15,3.58,2.7552
1500,1,005669,前海开源公用事业股票,股票型,2021-07-14,-4.09,2.6601
1501,1,005669,前海开源公用事业股票,股票型,2021-07-13,0.55,2.7734
1502,1,005669,前海开源公用事业股票,股票型,2021-07-12,4.23,2.7583
1503,1,005669,前海开源公用事业股票,股票型,2021-07-09,1.36,2.6464
1504,1,005669,前海开源公用事业股票,股票型,2021-07-08,0.69,2.6110
1505,1,005669,前海开源公用事业股票,股票型,2021-07-07,5.4,2.5932
1506,1,005669,前海开源公用事业股票,股票型,2021-07-06,-1.42,2.4603
1507,1,005669,前海开源公用事业股票,股票型,2021-07-05,2.99,2.4957
1508,1,005669,前海开源公用事业股票,股票型,2021-07-02,1.17,2.4233
1509,1,005669,前海开源公用事业股票,股票型,2021-07-01,-0.27,2.3952
1510,1,005669,前海开源公用事业股票,股票型,2021-06-30,1.98,2.4016
1511,1,005669,前海开源公用事业股票,股票型,2021-06-29,1.77,2.3549
1512,1,005669,前海开源公用事业股票,股票型,2021-06-28,1.6,2.3140
1513,1,005669,前海开源公用事业股票,股票型,2021-06-25,0.76,2.2775
1514,1,005669,前海开源公用事业股票,股票型,2021-06-24,-0.24,2.2603
1515,1,005669,前海开源公用事业股票,股票型,2021-06-23,2.59,2.2658
1516,1,005669,前海开源公用事业股票,股票型,2021-06-22,0.51,2.2085
1517,1,005669,前海开源公用事业股票,股票型,2021-06-21,3.37,2.1973
