,Unnamed: 0,代码,名称,类型,时间,涨幅,净值
2294,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-30,5.04,4.6951
2295,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-29,-5.54,4.4698
2296,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-28,-1.16,4.7320
2297,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-27,-5.54,4.7875
2298,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-24,-2.35,5.0681
2299,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-23,-1.42,5.1900
2300,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-22,-0.41,5.2650
2301,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-17,0.32,5.2866
2302,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-16,-6.43,5.2695
2303,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-15,1.82,5.6315
2304,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-14,0.84,5.5310
2305,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-13,1.55,5.4847
2306,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-10,3.4,5.4012
2307,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-09,-0.17,5.2235
2308,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-08,0.55,5.2325
2309,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-07,2.71,5.2038
2310,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-06,-1.35,5.0664
2311,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-03,-2.78,5.1358
2312,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-02,2.76,5.2829
2313,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-01,-2.84,5.1411
2314,2,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-31,3.11,5.2912
