,Unnamed: 0,代码,名称,类型,时间,涨幅,净值
0,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-30,4.82,4.7606
1,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-29,-5.63,4.5419
2,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-28,-1.11,4.8128
3,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-27,-5.77,4.8669
4,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-24,-0.97,5.1650
5,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-23,-1.55,5.2157
6,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-22,0.36,5.2980
7,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-17,-0.06,5.2792
8,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-16,-5.98,5.2824
9,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-15,1.78,5.6184
10,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-14,1.16,5.5203
11,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-13,1.05,5.4571
12,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-10,4.45,5.4002
13,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-09,0.21,5.1701
14,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-08,0.84,5.1593
15,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-07,2.57,5.1164
16,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-06,-0.77,4.9881
17,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-03,-2.89,5.0270
18,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-02,2.95,5.1768
19,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-09-01,-2.4,5.0284
20,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-31,2.57,5.1519
21,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-30,2.16,5.0228
22,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-27,3.4,4.9164
23,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-26,0.23,4.7546
24,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-25,0.5,4.7438
25,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-24,2.05,4.7203
26,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-23,4.35,4.6255
27,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-20,1.65,4.4325
28,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-19,3.62,4.3606
29,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-18,1.98,4.2083
30,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-17,-2.15,4.1267
31,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-16,-2.85,4.2172
32,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-13,0.85,4.3408
33,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-12,1.16,4.3041
34,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-11,0.95,4.2546
35,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-10,-2.39,4.2144
36,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-09,-1.65,4.3175
37,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-06,0.94,4.3901
38,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-05,-1.08,4.3492
39,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-04,5.32,4.3969
40,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-03,-5.74,4.1749
41,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-08-02,3.35,4.4291
42,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-30,4.89,4.2856
43,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-29,7.32,4.0859
44,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-28,-1.13,3.8073
45,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-27,-4.5,3.8509
46,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-26,1.05,4.0322
47,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-23,-1.51,3.9904
48,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-22,3.22,4.0514
49,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-21,6.42,3.9252
50,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-20,1.79,3.6884
51,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-19,-1.85,3.6235
52,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-16,-2.97,3.6917
53,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-15,2.31,3.8048
54,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-14,-3.39,3.7190
55,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-13,-1.96,3.8493
56,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-12,5.15,3.9262
57,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-09,3.29,3.7340
58,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-08,1.75,3.6151
59,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-07,5.11,3.5528
60,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-06,-1.08,3.3800
61,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-05,4.08,3.4169
62,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-02,0.36,3.2831
63,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-07-01,0.73,3.2712
64,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-30,2.68,3.2475
65,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-29,-0.01,3.1627
66,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-28,0.51,3.1631
67,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-25,2.13,3.1469
68,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-24,-1.42,3.0813
69,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-23,3.39,3.1258
70,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-22,0.43,3.0233
71,0,001704,国投瑞银进宝灵活配置混合,混合型-灵活,2021-06-21,1.66,3.0104
