,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
0,0,000001,华夏成长混合,混合型-偏股,2021-09-22,1.255,1.29,-12.73,0.16,-7.65
1,1,000003,中海可转债债券A,债券型-可转债,2021-09-22,0.903,1.01,2.73,2.85,-3.11
2,2,000004,中海可转债债券C,债券型-可转债,2021-09-22,0.897,0.9,2.63,2.63,-3.44
3,3,000005,嘉实增强信用定期债券,债券型-长债,2021-09-22,1.0458,0.52,2.44,3.45,4.26
4,4,000006,西部利得量化成长混合A,混合型-偏股,2021-09-22,2.3826,3.48,13.86,33.22,32.3
5,5,000008,嘉实中证500ETF联接A,指数型-股票,2021-09-22,2.0473,7.41,11.1,19.33,18.51
6,6,000009,易方达天天理财货币A,货币型,2021-09-22,0.0,0.17,0.51,1.03,1.57
7,7,000010,易方达天天理财货币B,货币型,2021-09-22,0.0,0.19,0.57,1.16,1.75
8,8,000011,华夏大盘精选混合A,混合型-偏股,2021-09-22,19.484,-3.32,-2.87,-3.05,-0.8
9,9,000014,华夏聚利债券,债券型-混合债,2021-09-22,1.816,1.91,5.34,6.45,10.13
10,10,000015,华夏纯债债券A,债券型-长债,2021-09-22,1.238,0.08,1.23,2.4,2.82
11,11,000016,华夏纯债债券C,债券型-长债,2021-09-22,1.201,0.08,1.18,2.21,2.56
12,12,000017,财通可持续混合,混合型-偏股,2021-09-22,1.996,2.78,-10.05,-0.75,-8.98
13,13,000020,景顺长城品质投资混合,混合型-偏股,2021-09-22,4.03,1.66,-6.45,6.73,-2.84
14,14,000021,华夏优势增长混合,混合型-偏股,2021-09-22,3.354,-3.54,3.2,20.6,7.78
15,15,000024,大摩双利增强债券A,债券型-长债,2021-09-22,1.0907,0.07,0.9,1.86,2.75
16,16,000025,大摩双利增强债券C,债券型-长债,2021-09-22,1.084,0.04,0.8,1.68,2.39
17,17,000028,华富安鑫债券,债券型-混合债,2021-09-22,1.1803,1.03,1.77,1.92,2.29
18,18,000029,富国宏观策略灵活配置混合A,混合型-灵活,2021-09-22,3.854,5.27,18.62,21.69,21.65
19,19,000030,长城核心优选混合,混合型-灵活,2021-09-22,1.6042,0.55,-5.62,3.26,-4.09
20,20,000031,华夏复兴混合,混合型-偏股,2021-09-22,3.549,-9.28,-1.66,15.68,2.1
21,21,000032,易方达信用债债券A,债券型-长债,2021-09-22,1.1147,0.1,1.76,2.9,3.55
22,22,000033,易方达信用债债券C,债券型-长债,2021-09-22,1.1115,0.06,1.66,2.7,3.26
23,23,000037,广发景宁债券A,债券型-长债,2021-09-22,1.0596,-0.01,2.13,3.97,4.57
24,24,000039,农银高增长混合,混合型-偏股,2021-09-22,4.2362,1.69,26.43,49.93,27.44
25,25,000041,华夏全球股票(QDII),QDII,2021-09-17,1.2,1.52,0.33,-10.98,-14.41
26,26,000042,财通中证ESG100指数增强A,指数型-股票,2021-09-22,2.1094,4.56,6.75,10.09,13.16
27,27,000043,嘉实美国成长股票人民币,QDII,2021-09-17,3.186,1.27,8.18,12.74,15.35
28,28,000044,嘉实美国成长股票美元现汇,QDII,2021-09-17,3.011,1.65,7.81,13.49,16.62
29,29,000045,工银产业债债券A,债券型-混合债,2021-09-22,1.544,0.26,0.72,2.52,2.66
30,30,000046,工银产业债债券B,债券型-混合债,2021-09-22,1.511,0.2,0.67,2.37,2.44
31,31,000047,华夏双债债券A,债券型-混合债,2021-09-22,1.695,2.42,8.1,10.06,9.14
32,32,000048,华夏双债债券C,债券型-混合债,2021-09-22,1.665,2.34,8.05,9.9,8.89
33,33,000049,中银标普全球资源等权重指数,QDII,2021-09-17,1.373,-0.79,-2.56,-0.58,13.0
34,34,000051,华夏沪深300ETF联接A,指数型-股票,2021-09-22,1.6512,1.22,-4.5,-2.72,-5.5
35,35,000053,鹏华永诚一年定开债券,债券型-长债,2021-09-22,1.0211,0.21,1.38,2.65,3.15
