,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
0,000001,华夏成长混合,混合型-偏股,2021-09-22,1.2550,1.2913640032,-12.7260083449,0.1596169194,-7.6526857984
1,000003,中海可转债债券A,债券型-可转债,2021-09-22,0.9030,1.0067114094,2.7303754266,2.84738041,-3.1115879828
2,000004,中海可转债债券C,债券型-可转债,2021-09-22,0.8970,0.8998875141,2.6315789474,2.6315789474,-3.4445640474
3,000005,嘉实增强信用定期债券,债券型-长债,2021-09-22,1.0458,0.5190311419,2.437979112,3.4462269379,4.2639836726
4,000006,西部利得量化成长混合A,混合型-偏股,2021-09-22,2.3826,3.4777929178,13.8573306162,33.2210969745,32.3025619828
5,000008,嘉实中证500ETF联接A,指数型-股票,2021-09-22,2.0473,7.4078,11.0972,19.3274,18.5123
6,000009,易方达天天理财货币A,货币型,2021-09-22,0.0000,0.1697803138,0.5089728428,1.0336791232,1.5697601
7,000010,易方达天天理财货币B,货币型,2021-09-22,0.0000,0.1902114729,0.5698400724,1.1560854287,1.7469751317
8,000011,华夏大盘精选混合A,混合型-偏股,2021-09-22,19.4840,-3.3244021038,-2.8713858425,-3.0502064985,-0.799348302
9,000014,华夏聚利债券,债券型-混合债,2021-09-22,1.8160,1.908,5.3364,6.4478,10.1273
10,000015,华夏纯债债券A,债券型-长债,2021-09-22,1.2380,0.0808407437,1.2264922322,2.3986765922,2.8239202658
11,000016,华夏纯债债券C,债券型-长债,2021-09-22,1.2010,0.0833333333,1.1794439764,2.2127659574,2.561912895
12,000017,财通可持续混合,混合型-偏股,2021-09-22,1.9960,2.7806,-10.0496,-0.7459,-8.9831
13,000020,景顺长城品质投资混合,混合型-偏股,2021-09-22,4.0300,1.6649848638,-6.4531104921,6.7266949153,-2.8447444552
14,000021,华夏优势增长混合,混合型-偏股,2021-09-22,3.3540,-3.5375,3.2,20.6041,7.7763
15,000024,大摩双利增强债券A,债券型-长债,2021-09-22,1.0907,0.072,0.9024,1.8609,2.7482
16,000025,大摩双利增强债券C,债券型-长债,2021-09-22,1.0840,0.0356,0.7978,1.6781,2.3936
17,000028,华富安鑫债券,债券型-混合债,2021-09-22,1.1803,1.0271,1.7675,1.9169,2.2879
18,000029,富国宏观策略灵活配置混合A,混合型-灵活,2021-09-22,3.8540,5.2717836657,18.621114189,21.692453426,21.654040404
19,000030,长城核心优选混合,混合型-灵活,2021-09-22,1.6042,0.5453,-5.6186,3.257,-4.0894
20,000031,华夏复兴混合,混合型-偏股,2021-09-22,3.5490,-9.2791411043,-1.6625103907,15.6779661017,2.1001150748
