,Unnamed: 0,代码,名称,类型,时间,涨幅,净值
7911,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-30,5.04,4.6951
7912,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-29,-5.54,4.4698
7913,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-28,-1.16,4.7320
7914,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-27,-5.54,4.7875
7915,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-24,-2.35,5.0681
7916,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-23,-1.42,5.1900
7917,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-22,-0.41,5.2650
7918,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-17,0.32,5.2866
7919,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-16,-6.43,5.2695
7920,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-15,1.82,5.6315
7921,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-14,0.84,5.5310
7922,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-13,1.55,5.4847
7923,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-10,3.4,5.4012
7924,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-09,-0.17,5.2235
7925,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-08,0.55,5.2325
7926,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-07,2.71,5.2038
7927,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-06,-1.35,5.0664
7928,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-03,-2.78,5.1358
7929,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-02,2.76,5.2829
7930,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-09-01,-2.84,5.1411
7931,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-31,3.11,5.2912
7932,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-30,2.54,5.1317
7933,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-27,2.83,5.0044
7934,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-26,0.47,4.8668
7935,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-25,0.7,4.8441
7936,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-24,1.81,4.8102
7937,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-23,5.37,4.7247
7938,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-20,1.55,4.4839
7939,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-19,3.75,4.4154
7940,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-18,2.18,4.2557
7941,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-17,-3.16,4.1650
7942,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-16,-2.35,4.3009
7943,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-13,1.07,4.4042
7944,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-12,1.1,4.3576
7945,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-11,0.83,4.3100
7946,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-10,-2.07,4.2744
7947,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-09,-1.76,4.3646
7948,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-06,0.95,4.4428
7949,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-05,-1.86,4.4008
7950,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-04,5.19,4.4840
7951,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-03,-5.23,4.2628
7952,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-08-02,2.8,4.4980
7953,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-30,5.41,4.3755
7954,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-29,7.46,4.1509
7955,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-28,-0.9,3.8627
7956,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-27,-4.42,3.8979
7957,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-26,1.6,4.0783
7958,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-23,-1.92,4.0139
7959,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-22,3.24,4.0923
7960,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-21,6.7,3.9637
7961,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-20,1.31,3.7147
7962,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-19,-1.19,3.6666
7963,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-16,-2.62,3.7108
7964,0,006736,国投瑞银先进制造混合,混合型-偏股,2021-07-15,2.89,3.8107
