,Unnamed: 0,代码,名称,类型,时间,涨幅,净值
3359,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-30,3.76,3.0544
3360,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-29,-2.19,2.9436
3361,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-28,-1.36,3.0095
3362,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-27,-2.33,3.0510
3363,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-24,-0.7,3.1237
3364,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-23,0.05,3.1457
3365,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-22,-0.7,3.1440
3366,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-17,-0.93,3.1661
3367,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-16,-4.66,3.1958
3368,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-15,0.29,3.3519
3369,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-14,2.21,3.3421
3370,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-13,-1.5,3.2699
3371,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-10,0.73,3.3197
3372,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-09,1.61,3.2955
3373,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-08,-1.12,3.2434
3374,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-07,2.48,3.2801
3375,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-06,2.28,3.2008
3376,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-03,-3.43,3.1295
3377,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-02,2.08,3.2405
3378,0,000689,前海开源新经济混合A,混合型-灵活,2021-09-01,-4.39,3.1746
3379,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-31,0.62,3.3203
3380,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-30,2.1,3.3000
3381,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-27,1.36,3.2322
3382,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-26,-1.14,3.1888
3383,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-25,1.27,3.2256
3384,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-24,1.33,3.1850
3385,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-23,3.77,3.1433
3386,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-20,-0.35,3.0292
3387,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-19,2.55,3.0399
3388,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-18,-0.09,2.9644
3389,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-17,-1.87,2.9672
3390,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-16,-4.07,3.0237
3391,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-13,-0.61,3.1519
3392,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-12,-0.52,3.1712
3393,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-11,3.28,3.1879
3394,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-10,-1.42,3.0866
3395,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-09,-2.86,3.1312
3396,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-06,1.59,3.2235
3397,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-05,-0.68,3.1729
3398,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-04,7.51,3.1947
3399,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-03,-5.34,2.9716
3400,0,000689,前海开源新经济混合A,混合型-灵活,2021-08-02,1.88,3.1391
3401,0,000689,前海开源新经济混合A,混合型-灵活,2021-07-30,2.04,3.0812
3402,0,000689,前海开源新经济混合A,混合型-灵活,2021-07-29,6.89,3.0197
