,Unnamed: 0,代码,名称,类型,时间,涨幅,净值
0,0,000828,泰达转型机遇股票A,股票型,2021-09-30,5.51,3.5640
1,0,000828,泰达转型机遇股票A,股票型,2021-09-29,-4.68,3.3780
2,0,000828,泰达转型机遇股票A,股票型,2021-09-28,-0.95,3.5440
3,0,000828,泰达转型机遇股票A,股票型,2021-09-27,-4.74,3.5780
4,0,000828,泰达转型机遇股票A,股票型,2021-09-24,-0.95,3.7560
5,0,000828,泰达转型机遇股票A,股票型,2021-09-23,-3.66,3.7920
6,0,000828,泰达转型机遇股票A,股票型,2021-09-22,2.07,3.9360
7,0,000828,泰达转型机遇股票A,股票型,2021-09-17,2.17,3.8560
8,0,000828,泰达转型机遇股票A,股票型,2021-09-16,-5.03,3.7740
9,0,000828,泰达转型机遇股票A,股票型,2021-09-15,2.87,3.9740
10,0,000828,泰达转型机遇股票A,股票型,2021-09-14,3.07,3.8630
11,0,000828,泰达转型机遇股票A,股票型,2021-09-13,0.13,3.7480
12,0,000828,泰达转型机遇股票A,股票型,2021-09-10,1.11,3.7430
13,0,000828,泰达转型机遇股票A,股票型,2021-09-09,-0.3,3.7020
14,0,000828,泰达转型机遇股票A,股票型,2021-09-08,-2.62,3.7130
15,0,000828,泰达转型机遇股票A,股票型,2021-09-07,3.84,3.8130
16,0,000828,泰达转型机遇股票A,股票型,2021-09-06,-0.05,3.6720
17,0,000828,泰达转型机遇股票A,股票型,2021-09-03,-4.5,3.6740
18,0,000828,泰达转型机遇股票A,股票型,2021-09-02,3.8,3.8470
19,0,000828,泰达转型机遇股票A,股票型,2021-09-01,-6.01,3.7060
20,0,000828,泰达转型机遇股票A,股票型,2021-08-31,0.05,3.9430
21,0,000828,泰达转型机遇股票A,股票型,2021-08-30,2.12,3.9410
22,0,000828,泰达转型机遇股票A,股票型,2021-08-27,1.93,3.8590
23,0,000828,泰达转型机遇股票A,股票型,2021-08-26,-0.89,3.7860
24,0,000828,泰达转型机遇股票A,股票型,2021-08-25,1.17,3.8200
25,0,000828,泰达转型机遇股票A,股票型,2021-08-24,3.06,3.7760
26,0,000828,泰达转型机遇股票A,股票型,2021-08-23,2.83,3.6640
27,0,000828,泰达转型机遇股票A,股票型,2021-08-20,0.0,3.5630
28,0,000828,泰达转型机遇股票A,股票型,2021-08-19,4.09,3.5630
29,0,000828,泰达转型机遇股票A,股票型,2021-08-18,0.35,3.4230
30,0,000828,泰达转型机遇股票A,股票型,2021-08-17,-1.93,3.4110
31,0,000828,泰达转型机遇股票A,股票型,2021-08-16,-4.5,3.4780
32,0,000828,泰达转型机遇股票A,股票型,2021-08-13,-0.55,3.6420
33,0,000828,泰达转型机遇股票A,股票型,2021-08-12,1.36,3.6620
34,0,000828,泰达转型机遇股票A,股票型,2021-08-11,1.92,3.6130
35,0,000828,泰达转型机遇股票A,股票型,2021-08-10,-2.56,3.5450
36,0,000828,泰达转型机遇股票A,股票型,2021-08-09,-3.68,3.6380
37,0,000828,泰达转型机遇股票A,股票型,2021-08-06,2.86,3.7770
38,0,000828,泰达转型机遇股票A,股票型,2021-08-05,1.13,3.6720
39,0,000828,泰达转型机遇股票A,股票型,2021-08-04,7.05,3.6310
40,0,000828,泰达转型机遇股票A,股票型,2021-08-03,-4.67,3.3920
41,0,000828,泰达转型机遇股票A,股票型,2021-08-02,1.4,3.5580
42,0,000828,泰达转型机遇股票A,股票型,2021-07-30,1.33,3.5090
43,0,000828,泰达转型机遇股票A,股票型,2021-07-29,6.62,3.4630
