,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
25,25,000041,华夏全球股票(QDII),QDII,2021-09-17,1.2,1.52,0.33,-10.98,-14.41
27,27,000043,嘉实美国成长股票人民币,QDII,2021-09-17,3.186,1.27,8.18,12.74,15.35
28,28,000044,嘉实美国成长股票美元现汇,QDII,2021-09-17,3.011,1.65,7.81,13.49,16.62
33,33,000049,中银标普全球资源等权重指数,QDII,2021-09-17,1.373,-0.79,-2.56,-0.58,13.0
37,37,000055,广发纳斯达克100美元现汇A,QDII,2021-09-17,0.677,2.27,8.49,16.74,19.63
51,51,000071,华夏恒生ETF联接A,QDII,2021-09-22,1.3045,-2.53,-13.25,-15.14,-10.6
55,55,000075,华夏恒生ETF联接现汇,QDII,2021-09-22,0.2016,-2.09,-13.36,-14.5,-9.84
56,56,000076,华夏恒生ETF联接现钞,QDII,2021-09-22,0.2016,-2.09,-13.36,-14.5,-9.84
71,71,000103,国泰中国企业境外高收益债,QDII,2021-09-17,1.3051,-2.81,-2.51,-4.84,-5.32
121,121,000179,广发美国房地产指数,QDII,2021-09-17,1.265,-0.86,2.68,13.34,23.03
122,122,000180,广发美国房地产指数现汇,QDII,2021-09-17,0.196,-0.51,2.27,14.11,24.38
190,190,000274,广发亚太中高收益债(QDII)A,QDII,2021-09-17,1.2552,-3.3,-3.67,-5.48,-7.64
191,191,000275,广发亚太中高收益债美元现汇(QDII)A,QDII,2021-09-17,0.1945,-2.94,-4.05,-4.84,-6.63
196,196,000290,鹏华全球高收益债(QDII),QDII,2021-09-17,1.0478,-7.59,-12.25,-14.03,-13.89
232,232,000341,嘉实新兴市场C2(QDII),QDII,2021-09-17,1.259,0.0,0.56,2.94,1.12
233,233,000342,嘉实新兴市场A1(QDII),QDII,2021-09-17,1.312,-0.23,1.08,2.58,0.38
248,248,000369,广发全球医疗保健(QDII),QDII,2021-09-17,1.926,-3.17,3.6,11.14,10.18
249,249,000370,广发全球医疗保健美元,QDII,2021-09-17,0.2985,-2.8,3.25,11.92,11.42
386,386,000593,易方达标普消费品指数美元现汇A,QDII,2021-09-17,0.4223,-3.56,-4.8,0.74,6.59
400,400,000614,华安德国30(DAX)联接,QDII,2021-09-17,1.418,-3.08,-3.21,2.6,4.5
535,535,000834,大成纳斯达克100,QDII,2021-09-17,3.398,1.74,8.39,14.95,17.09
577,577,000906,广发全球精选股票美元现汇,QDII,2021-09-17,0.5113,6.79,-1.06,-3.78,0.25
588,588,000927,博时大中华亚太精选美元现汇,QDII,2021-09-17,0.2171,2.79,-6.18,-8.09,-7.58
595,595,000934,国富大中华精选混合,QDII,2021-09-17,2.657,0.53,-3.73,-5.91,3.71
605,605,000948,华夏沪港通恒生ETF联接A,QDII,2021-09-22,1.1384,-1.71,-11.85,-13.84,-9.04
636,636,000988,嘉实全球互联网股票人民币,QDII,2021-09-17,2.261,3.95,5.07,4.29,1.07
637,637,000989,嘉实全球互联网股票美元现汇,QDII,2021-09-17,2.136,4.3,4.65,4.96,2.15
638,638,000990,嘉实全球互联网股票美元现钞,QDII,2021-09-22,2.105,1.3,2.88,4.62,0.67
693,693,001061,华夏收益债券(QDII)A,QDII,2021-09-17,1.326,0.91,2.24,3.84,2.71
694,694,001063,华夏收益债券(QDII)C,QDII,2021-09-17,1.284,0.86,2.07,3.63,2.39
696,696,001065,华夏海外收益债券现汇,QDII,2021-09-17,0.2055,1.28,1.88,4.58,3.84
697,697,001066,华夏海外收益债券现钞,QDII,2021-09-17,0.2055,1.28,1.88,4.58,3.84
713,713,001092,广发生物科技指数(QDII),QDII,2021-09-17,1.361,1.11,7.08,6.58,10.29
714,714,001093,广发生物科技指数美元,QDII,2021-09-17,0.2109,1.49,6.68,7.33,11.53
1010,1010,001481,华宝标普油气上游股票美元A,QDII,2021-09-22,0.0666,19.35,-7.76,7.42,50.0
1143,1143,001668,汇添富全球互联混合,QDII,2021-09-22,2.83,1.87,-4.07,-2.14,-2.04
1157,1157,001691,南方香港成长(QDII),QDII,2021-09-17,1.987,-1.14,-20.81,-24.19,-12.89
1297,1297,001876,鹏华全球高收益债美元现汇,QDII,2021-09-17,0.1624,-7.25,-12.55,-13.43,-12.92
1385,1385,001984,上投摩根中国生物医药(QDII),QDII,2021-09-17,2.4139,-0.3,-4.13,14.81,6.13
1557,1557,002230,华夏大中华混合(QDII),QDII,2021-09-17,1.711,-3.98,-15.55,-18.64,-16.94
1595,1595,002286,中银美元债债券人民币,QDII,2021-09-17,1.156,-0.52,0.35,-0.43,-0.34
1596,1596,002287,中银美元债债券美元,QDII,2021-09-17,0.1791,-0.17,-0.06,0.22,0.73
1655,1655,002379,工银香港中小盘人民币,QDII,2021-09-17,2.093,-0.52,-0.95,0.77,0.77
1656,1656,002380,工银香港中小盘美元,QDII,2021-09-17,0.3244,-0.15,-1.28,1.5,1.92
1666,1666,002391,华安全球美元收益债人民币A,QDII,2021-09-17,1.129,-0.44,0.27,-0.44,-1.66
1667,1667,002392,华安全球美元收益债美元现汇A,QDII,2021-09-17,0.175,-0.06,-0.06,0.29,-0.51
1668,1668,002393,华安全球美元收益债C,QDII,2021-09-17,1.103,-0.54,0.09,-0.63,-1.96
1673,1673,002400,南方亚洲美元债人民币A,QDII,2021-09-17,1.1051,-0.76,-1.12,-1.98,-0.95
1674,1674,002401,南方亚洲美元债人民币C,QDII,2021-09-17,1.0747,-0.81,-1.25,-2.22,-1.3
1675,1675,002402,南方亚洲美元债美元现汇A,QDII,2021-09-17,0.1713,-0.35,-1.44,-1.27,0.18
1676,1676,002403,南方亚洲美元债美元现汇C,QDII,2021-09-17,0.1666,-0.42,-1.59,-1.48,-0.18
1696,1696,002423,华宝标普美国消费美元,QDII,2021-09-22,0.3388,2.54,4.15,8.38,12.15
1699,1699,002426,华安全球美元票息债人民币A,QDII,2021-09-17,1.108,-0.45,0.36,-0.27,-1.6
1700,1700,002427,华安全球美元票息债美元现汇A,QDII,2021-09-17,0.1717,-0.12,0.0,0.41,-0.52
1701,1701,002429,华安全球美元票息债C,QDII,2021-09-17,1.081,-0.46,0.28,-0.46,-1.91
2016,2016,002877,华夏大中华信用债A,QDII,2021-09-17,1.057,2.03,5.38,9.08,6.45
2017,2017,002878,华夏大中华信用债美元现汇A,QDII,2021-09-17,0.1638,2.38,5.0,9.86,7.62
2018,2018,002879,华夏大中华信用债美元现钞A,QDII,2021-09-17,0.1638,2.38,5.0,9.86,7.62
2019,2019,002880,华夏大中华信用债C,QDII,2021-09-17,1.049,2.04,5.32,8.82,6.07
2027,2027,002891,华夏移动互联混合人民币,QDII,2021-09-17,2.513,-2.45,-9.6,-5.35,-4.81
2028,2028,002892,华夏移动互联混合美元现汇,QDII,2021-09-17,0.3894,-2.09,-9.94,-4.7,-3.76
2029,2029,002893,华夏移动互联混合美元现钞,QDII,2021-09-17,0.3894,-2.09,-9.94,-4.7,-3.76
2252,2252,003243,上投摩根中国世纪人民币,QDII,2021-09-17,1.9823,-4.2,-7.96,-8.27,-10.63
2253,2253,003244,上投摩根中国世纪美元现钞,QDII,2018-06-04,0.2338,4.42,3.13,10.08,7.15
2254,2254,003245,上投摩根中国世纪美元现汇,QDII,2018-06-04,0.2338,4.42,3.13,10.08,7.15
2306,2306,003321,易方达原油C类人民币,QDII,2021-09-17,0.8131,7.02,4.58,12.46,46.4
2307,2307,003322,易方达原油A类美元汇,QDII,2021-09-17,0.1296,7.46,4.26,13.49,48.45
2308,2308,003323,易方达原油C类美元汇,QDII,2021-09-17,0.126,7.42,4.22,13.21,48.06
2342,2342,003385,工银全球美元债A人民币,QDII,2021-09-17,1.0429,-0.25,0.68,-0.27,-0.36
2343,2343,003386,工银全球美元债A美元现汇,QDII,2021-09-17,0.1616,0.12,0.31,0.44,0.75
2344,2344,003387,工银全球美元债C,QDII,2021-09-17,1.0285,-0.28,0.59,-0.46,-0.64
2484,2484,003606,海富通全球收益债券美元,QDII,2021-09-17,0.1596,-1.42,-1.18,-0.93,-0.44
2495,2495,003629,上投摩根全球多元配置人民币,QDII,2021-09-17,1.462,0.34,2.31,4.73,7.5
2496,2496,003630,上投摩根全球多元配置美元现钞,QDII,2021-09-17,0.2266,0.71,2.07,5.4,8.94
2497,2497,003631,上投摩根全球多元配置美元现汇,QDII,2021-09-17,0.2266,0.71,2.07,5.4,8.94
2548,2548,003718,易方达标普500指数美元汇A,QDII,2021-09-17,0.2754,-0.25,4.79,11.23,17.44
2549,2549,003719,易方达标普医疗保健美元汇A,QDII,2021-09-17,0.2781,-0.61,6.96,17.05,17.84
2550,2550,003720,易方达标普生物科技美元汇A,QDII,2021-09-17,0.2737,7.04,-1.12,-9.64,-5.06
2551,2551,003721,易标普信息科技美元汇A,QDII,2021-09-17,0.4275,0.64,7.93,15.23,17.83
2552,2552,003722,易方达纳斯达克100美元汇A,QDII,2021-09-17,0.3587,2.11,7.81,15.26,17.92
2679,2679,003972,国富美元债定开债人民币,QDII,2021-09-17,1.0278,-1.16,1.0,0.3,2.36
2680,2680,003973,国富美元债定开债美元现汇,QDII,2021-09-17,0.1593,-0.75,-0.02,0.79,3.51
2839,2839,004243,广发道琼斯石油指数人民币C,QDII,2021-09-17,1.1166,8.04,-3.48,3.33,45.28
2933,2933,004419,汇添富美元债债券人民币A,QDII,2021-09-17,1.0644,-1.09,-1.07,-2.63,-3.1
2934,2934,004420,汇添富美元债债券人民币C,QDII,2021-09-17,1.0514,-1.12,-1.17,-2.83,-3.36
2935,2935,004421,汇添富美元债债券美元现汇A,QDII,2021-09-17,1.1361,-0.7,-1.0,-1.55,-1.6
2936,2936,004422,汇添富美元债债券美元现汇C,QDII,2021-09-17,1.1134,-0.78,-1.53,-2.18,-2.33
3201,3201,004877,汇添富全球医疗混合人民币,QDII,2021-09-22,2.5502,-1.41,13.81,34.59,35.9
3202,3202,004878,汇添富全球医疗混合美元现汇,QDII,2021-09-22,2.6315,-0.97,13.67,35.62,37.06
3203,3203,004879,汇添富全球医疗混合美元现钞,QDII,2021-09-22,2.6315,-0.97,13.67,35.62,37.06
3292,3292,004998,长信全球债券人民币,QDII,2021-09-17,1.2032,0.1,-1.44,-3.77,-3.23
3293,3293,004999,长信全球债券美元,QDII,2021-09-17,0.1865,0.48,-1.79,-3.07,-2.1
3452,3452,005243,融通中国概念债券,QDII,2021-09-17,1.161,0.45,1.11,1.77,-0.92
3573,3573,005440,华安全球稳健配置(QDII-FOF)A,QDII,2021-09-17,1.1081,0.01,-2.4,-2.49,-1.53
3574,3574,005441,华安全球稳健配置(QDII-FOF)C,QDII,2021-09-17,1.0906,-0.02,-2.49,-2.69,-1.8
3629,3629,005534,华夏新时代混合(QDII),QDII,2021-09-17,2.2246,3.61,1.22,2.47,2.73
3672,3672,005613,上投富时发达市场REITs,QDII,2021-09-17,1.2803,-1.68,3.0,12.22,20.13
3708,3708,005675,易方达恒生国企ETF联接C,QDII,2021-09-22,0.9636,-1.26,-15.74,-21.89,-18.26
3709,3709,005676,易方达标普消费品指数C,QDII,2021-09-17,2.701,-3.95,-4.49,-0.07,5.26
3723,3723,005698,华夏全球科技先锋混合,QDII,2021-09-17,1.517,4.18,6.14,3.58,2.31
3724,3724,005699,工银新经济人民币,QDII,2021-09-17,1.3677,2.3,-3.51,0.4,0.8
3742,3742,005734,华夏沪港通恒生ETF联接C,QDII,2021-09-22,1.1267,-1.74,-11.92,-13.97,-9.23
3938,3938,006075,博时标普500ETF联接C,QDII,2021-09-17,3.169,-0.7,4.98,9.91,15.54
3956,3956,006105,泰达宏利印度(QDII),QDII,2021-09-22,1.2939,4.85,9.35,11.51,17.19
3966,3966,006127,华宝香港中小C,QDII,2021-09-22,1.6918,0.49,-9.08,-5.48,-2.03
4047,4047,006263,易方达香港小型股指数C,QDII,2021-09-22,1.2949,2.7,-7.49,-5.41,3.32
4060,4060,006282,上投欧洲动力(QDII),QDII,2021-09-17,1.2746,-2.59,-0.92,6.47,11.88
4078,4078,006308,汇添富全球消费混合人民币A,QDII,2021-09-22,2.3396,1.25,-13.69,-12.89,-16.35
4079,4079,006309,汇添富全球消费混合人民币C,QDII,2021-09-22,2.2672,1.15,-13.91,-13.33,-16.96
4086,4086,006327,易方达中证海外50ETF联接人民币A,QDII,2021-09-17,1.1166,3.06,-22.31,-32.58,-29.41
4087,4087,006328,易方达中证海外50ETF联接人民币C,QDII,2021-09-17,1.0996,3.03,-22.39,-32.7,-29.61
4088,4088,006329,易方达中证海外50ETF联接美元A,QDII,2021-09-17,0.173,3.41,-22.6,-32.13,-28.63
4119,4119,006373,国富全球科技互联混合人民币,QDII,2021-09-17,2.3597,-0.12,0.13,-1.51,9.14
4159,4159,006445,华夏全球聚享A人民币,QDII,2021-09-17,1.2892,0.55,1.32,10.32,22.16
4160,4160,006448,华夏全球聚享C人民币,QDII,2021-09-17,1.275,0.52,1.21,10.04,21.75
4170,4170,006476,南方原油C,QDII,2021-09-17,0.8435,6.92,4.56,12.38,45.23
4173,4173,006479,广发纳斯达克100指数C,QDII,2021-09-17,4.3388,1.89,8.84,15.85,18.18
4224,4224,006555,浦银安盛全球智能科技(QDII),QDII,2021-09-17,1.694,2.9,5.06,6.65,7.75
4343,4343,006778,广发恒生中国企业(QDII)A,QDII,2021-09-17,0.8326,-1.12,-13.98,-19.48,-14.85
4344,4344,006779,广发恒生中国企业(QDII)C,QDII,2021-09-17,0.8325,-1.15,-14.07,-19.64,-15.09
4596,4596,007204,银华美元债精选(QDII)A,QDII,2021-09-17,1.075,1.09,2.36,3.04,-0.94
4597,4597,007205,银华美元债精选(QDII)C,QDII,2021-09-17,1.0672,1.06,2.27,2.86,-1.18
4635,4635,007280,上投摩根日本精选股票(QDII),QDII,2021-09-17,1.5033,11.03,11.6,12.57,16.62
4671,4671,007360,易方达中短期美元债(QDII)A人民币,QDII,2021-09-17,1.0328,0.12,1.49,0.89,1.33
4672,4672,007361,易方达中短期美元债(QDII)C人民币,QDII,2021-09-17,1.0261,0.09,1.4,0.73,1.11
4718,4718,007455,富国蓝筹精选股票(QDII)人民币,QDII,2021-09-17,2.2446,-2.37,-9.52,-7.22,-2.31
4816,4816,007628,南方全球债券(QDII)人民币A,QDII,2021-09-17,0.9445,-0.38,-0.82,-0.71,0.18
4817,4817,007629,南方全球债券(QDII)人民币C,QDII,2021-09-17,0.9364,-0.4,-0.91,-0.9,-0.09
4876,4876,007729,招商普盛全球配置(QDII-FOF)人民币,QDII,2021-09-17,1.2268,0.0,0.96,2.29,4.28
4952,4952,007844,华宝标普油气上游股票人民币C,QDII,2021-09-22,0.4284,18.87,-7.69,6.51,48.34
5066,5066,008095,中银亚太精选债券(QDII)人民币A,QDII,2021-09-17,0.9955,-0.54,0.41,0.24,0.21
5067,5067,008096,中银亚太精选债券(QDII)人民币C,QDII,2021-09-17,0.9905,-0.58,0.3,0.03,-0.08
5155,5155,008253,华宝致远混合(QDII)A,QDII,2021-09-22,1.2717,2.61,-4.42,-5.79,-5.53
5156,5156,008254,华宝致远混合(QDII)C,QDII,2021-09-22,1.2626,2.58,-4.51,-5.97,-5.78
5180,5180,008284,易方达全球医药行业(QDII)人民币,QDII,2021-09-17,1.6531,-2.67,-7.78,17.82,16.92
5215,5215,008367,富国亚洲收益债券(QDII)人民币,QDII,2021-09-17,1.007,-0.73,-0.83,-0.73,-0.72
5373,5373,008706,建信富时100指数(QDII)人民币C,QDII,2021-09-17,0.8272,-3.74,-3.22,2.11,9.01
5399,5399,008751,大成全球美元债(QDII)A人民币,QDII,2021-09-17,1.0528,-0.85,-0.23,-0.19,-0.16
