,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
64,64,000084,博时安盈债券A,债券型-中短债,2021-09-22,1.2895,0.16,0.86,1.82,2.65
65,65,000085,博时安盈债券C,债券型-中短债,2021-09-22,1.2563,0.14,0.78,1.66,2.43
93,93,000128,大成景安短融债券A,债券型-中短债,2021-09-22,1.2024,0.08,0.62,1.17,1.73
94,94,000129,大成景安短融债券B,债券型-中短债,2021-09-22,1.2309,0.11,0.69,1.31,1.95
261,261,000394,融通通源短融债券A,债券型-中短债,2021-09-22,1.0908,0.13,0.94,1.63,2.06
316,316,000503,中信建投景和中短债A,债券型-中短债,2021-09-22,1.1575,0.16,1.07,1.94,2.25
317,317,000504,中信建投景和中短债C,债券型-中短债,2021-09-22,1.1221,0.12,0.97,1.71,1.94
430,430,000674,中海中短债债券,债券型-中短债,2021-09-22,0.8961,0.01,0.91,1.41,1.92
504,504,000791,银华安颐中短债双月持有期债券C,债券型-中短债,2021-09-22,1.0245,-0.02,1.01,1.78,2.35
505,505,000792,招商定期宝六个月期理财债券,债券型-中短债,2021-07-29,1.0003,0.15,0.49,1.0,-19.37
516,516,000808,招商招利1个月期理财债券A,债券型-中短债,2021-09-22,1.0335,0.14,0.48,0.98,1.47
517,517,000809,招商招利1个月期理财债券B,债券型-中短债,2020-02-27,0.0,0.24,0.59,1.23,0.37
607,607,000951,中银慧享中短利率债债券A,债券型-中短债,2021-09-22,1.0024,-0.16,-0.4,-0.38,-0.4
608,608,000952,中银慧享中短利率债债券B,债券型-中短债,2021-09-22,1.0024,-0.16,-0.41,-0.38,-0.55
689,689,001057,华夏理财30天债券A,债券型-中短债,2021-09-22,1.0207,0.12,0.57,1.11,1.57
690,690,001058,华夏理财30天债券B,债券型-中短债,2021-09-22,1.0225,0.15,0.63,1.24,1.75
1159,1159,001693,招商招利1个月期理财债券C,债券型-中短债,2021-09-22,1.0335,0.13,0.47,0.98,1.46
1350,1350,001941,融通通源短融债券B,债券型-中短债,2021-09-22,1.103,0.15,1.03,1.79,2.28
1459,1459,002086,大成景安短融债券E,债券型-中短债,2021-09-22,1.2146,0.1,0.66,1.26,1.87
1605,1605,002301,兴业短债债券A,债券型-中短债,2021-09-22,1.0572,0.21,0.89,1.82,2.67
1941,1941,002769,兴业短债债券C,债券型-中短债,2021-09-22,1.0393,0.19,0.84,1.72,2.52
2008,2008,002864,广发安泽短债债券A,债券型-中短债,2021-09-22,1.0701,0.16,0.68,1.39,2.08
2009,2009,002865,广发安泽短债债券C,债券型-中短债,2021-09-22,1.0638,0.13,0.59,1.21,1.82
2048,2048,002920,中欧短债债券A,债券型-中短债,2021-09-22,1.0339,0.14,0.83,1.67,2.48
2099,2099,003002,国金及第中短债债券,债券型-中短债,2021-09-22,1.0285,0.03,0.88,1.78,0.91
2102,2102,003009,中融盈泽中短债A,债券型-中短债,2021-09-22,1.1412,0.04,1.24,2.09,2.64
2103,2103,003010,中融盈泽中短债C,债券型-中短债,2021-09-22,1.1322,0.02,1.16,1.95,2.42
2359,2359,003403,华商瑞丰短债A,债券型-中短债,2021-09-22,1.0689,0.1,0.77,1.55,2.23
2374,2374,003430,兴业中短债C,债券型-中短债,2021-09-22,1.0066,-0.13,0.24,0.63,0.35
2375,2375,003431,兴业中短债A,债券型-中短债,2021-09-22,1.0098,-0.09,0.39,0.87,0.67
2787,2787,004155,中信保诚至泰中短债债券A,债券型-中短债,2021-09-22,1.1089,0.13,1.5,2.14,1.46
2788,2788,004156,中信保诚至泰中短债债券C,债券型-中短债,2021-09-22,1.1687,0.12,1.48,2.09,1.4
3060,3060,004672,华夏短债债券A,债券型-中短债,2021-09-22,1.0693,0.15,1.03,2.24,3.07
3061,3061,004673,华夏短债债券C,债券型-中短债,2021-09-22,1.0651,0.16,1.01,2.19,3.0
3135,3135,004780,招商招利一年理财债券,债券型-中短债,2021-09-22,1.025,0.21,0.6,1.23,1.83
3164,3164,004827,平安中短债债券A,债券型-中短债,2021-09-22,1.1029,0.74,3.29,4.33,4.62
3165,3165,004828,平安中短债债券C,债券型-中短债,2021-09-22,1.1014,0.74,3.26,4.28,4.65
3172,3172,004839,银华安颐中短债双月持有期债券A,债券型-中短债,2021-09-22,1.0264,0.0,1.06,1.9,2.53
3225,3225,004907,长安泓沣中短债债券A,债券型-中短债,2021-09-22,1.2264,0.36,1.32,2.58,3.45
3226,3226,004908,长安泓沣中短债债券C,债券型-中短债,2021-09-22,1.2178,0.34,1.28,2.49,3.32
3279,3279,004981,新华鑫日享中短债A,债券型-中短债,2021-09-22,1.082,0.28,1.08,1.99,2.78
3301,3301,005010,金鹰添瑞中短债A,债券型-中短债,2021-09-22,1.039,0.16,1.04,1.97,2.72
3302,3302,005011,金鹰添瑞中短债C,债券型-中短债,2021-09-22,1.0226,0.12,0.94,1.76,2.42
3344,3344,005079,兴银鑫日享短债A,债券型-中短债,2021-09-22,1.0695,0.22,1.11,2.16,3.09
3611,3611,005503,汇添富理财60天债券E,债券型-中短债,2021-09-22,1.0556,0.2,0.58,0.86,1.3
3615,3615,005513,南华瑞恒中短债债券A,债券型-中短债,2021-09-22,1.028,-0.6,-0.73,-1.45,-1.82
3616,3616,005514,南华瑞恒中短债债券C,债券型-中短债,2021-09-22,1.0304,-0.62,-0.8,-1.59,-2.03
3735,3735,005725,国投瑞银恒泽中短债A,债券型-中短债,2021-09-22,1.0652,0.39,1.86,2.48,2.91
3753,3753,005754,平安短债A,债券型-中短债,2021-09-22,1.1089,0.24,1.18,2.23,2.85
3754,3754,005755,平安短债C,债券型-中短债,2021-09-22,1.1297,0.24,1.16,3.83,4.29
3755,3755,005756,平安短债E,债券型-中短债,2021-09-22,1.1001,0.22,1.11,2.11,2.66
3894,3894,005992,光大超短债A,债券型-中短债,2021-09-22,1.017,0.1,0.43,1.06,1.64
3895,3895,005993,光大超短债C,债券型-中短债,2021-09-22,1.0147,0.06,0.36,0.88,1.37
3936,3936,006073,人保鑫瑞中短债债券A,债券型-中短债,2021-09-22,1.0683,0.07,0.64,1.31,1.77
3937,3937,006074,人保鑫瑞中短债债券C,债券型-中短债,2021-09-22,1.0604,0.05,0.57,1.17,1.58
3939,3939,006076,创金合信恒利超短债债券A,债券型-中短债,2021-09-22,1.1269,0.14,0.96,1.79,2.78
3940,3940,006077,创金合信恒利超短债债券C,债券型-中短债,2021-09-22,1.1147,0.11,0.87,1.6,2.52
4082,4082,006319,易方达安瑞短债A,债券型-中短债,2021-09-22,1.0038,0.15,0.64,1.36,2.03
4083,4083,006320,易方达安瑞短债C,债券型-中短债,2021-09-22,1.0036,0.14,0.59,1.26,1.89
4110,4110,006360,财通鸿益中短债债券A,债券型-中短债,2021-09-22,1.0335,0.19,0.8,1.66,2.5
4111,4111,006361,财通鸿益中短债债券C,债券型-中短债,2021-09-22,1.0288,0.18,0.74,1.56,2.35
4126,4126,006387,宝盈安泰短债债券A,债券型-中短债,2021-09-22,1.0764,0.34,1.42,2.58,2.8
4127,4127,006388,宝盈安泰短债债券C,债券型-中短债,2021-09-22,1.0675,0.31,1.35,2.43,2.59
4128,4128,006389,金鹰添祥中短债A,债券型-中短债,2021-09-22,1.1005,0.16,1.13,2.19,3.22
4129,4129,006390,金鹰添祥中短债C,债券型-中短债,2021-09-22,1.0924,0.15,1.06,2.06,3.04
4140,4140,006415,银华中短政策金融债定开债,债券型-中短债,2021-09-22,1.0259,0.08,1.05,1.99,2.4
4150,4150,006434,鹏华3个月中短债A,债券型-中短债,2021-09-17,1.1116,0.24,1.13,2.27,2.92
4152,4152,006436,浦银安盛中短债A,债券型-中短债,2021-09-22,1.1026,0.11,0.82,1.64,2.28
4153,4153,006437,浦银安盛中短债C,债券型-中短债,2021-09-22,1.0977,0.1,0.8,1.58,2.21
4163,4163,006456,鹏华3个月中短债C,债券型-中短债,2021-09-17,1.0979,0.21,1.01,2.06,2.62
4174,4174,006481,海富通上清所短融债券A,债券型-中短债,2021-09-22,1.0112,0.12,0.69,1.39,2.02
