,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
1,1,000003,中海可转债债券A,债券型-可转债,2021-09-22,0.903,1.01,2.73,2.85,-3.11
2,2,000004,中海可转债债券C,债券型-可转债,2021-09-22,0.897,0.9,2.63,2.63,-3.44
47,47,000067,民生加银转债优选A,债券型-可转债,2021-09-22,1.147,8.21,24.81,34.47,31.99
48,48,000068,民生加银转债优选C,债券型-可转债,2021-09-22,1.12,8.21,24.72,34.29,31.61
60,60,000080,天治可转债增强债券A,债券型-可转债,2021-09-22,1.652,4.89,10.13,10.13,10.95
61,61,000081,天治可转债增强债券C,债券型-可转债,2021-09-22,1.602,4.84,10.03,9.95,10.64
200,200,000297,鹏华可转债债券A,债券型-可转债,2021-09-22,1.712,5.94,18.15,23.43,23.88
342,342,000536,前海开源可转债债券,债券型-可转债,2021-09-22,1.429,9.08,23.19,39.96,34.68
679,679,001045,华夏可转债增强债券A,债券型-可转债,2021-09-22,1.715,3.13,5.67,5.54,8.48
1465,1465,002101,创金合信转债精选债券A,债券型-可转债,2021-09-22,1.2857,1.03,8.24,10.66,11.99
1466,1466,002102,创金合信转债精选债券C,债券型-可转债,2021-09-22,1.2733,1.01,8.16,10.49,11.75
2224,2224,003205,财通可转债债券C,债券型-可转债,2021-09-22,1.2294,1.01,2.57,5.96,7.3
2357,2357,003401,工银可转债债券,债券型-可转债,2021-09-22,1.4741,3.06,6.26,8.03,3.16
2423,2423,003510,长盛可转债债券A,债券型-可转债,2021-09-22,1.4458,5.02,17.96,26.95,15.46
2424,2424,003511,长盛可转债债券C,债券型-可转债,2021-09-22,1.4471,4.99,17.87,26.76,15.2
2708,2708,004031,鑫元添利三个月定开债,债券型-可转债,2021-09-17,1.0907,0.17,1.32,2.33,2.95
3287,3287,004993,中欧可转债债券A,债券型-可转债,2021-09-22,1.5258,2.6,8.26,11.43,6.51
3288,3288,004994,中欧可转债债券C,债券型-可转债,2021-09-22,1.5044,2.56,8.15,11.21,6.21
3455,3455,005246,国泰可转债债券,债券型-可转债,2021-09-22,1.5011,3.17,5.51,10.28,8.78
3474,3474,005273,华商可转债债券A,债券型-可转债,2021-09-22,1.8701,14.06,27.17,28.07,37.02
