,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
9,9,000014,华夏聚利债券,债券型-混合债,2021-09-22,1.816,1.91,5.34,6.45,10.13
17,17,000028,华富安鑫债券,债券型-混合债,2021-09-22,1.1803,1.03,1.77,1.92,2.29
29,29,000045,工银产业债债券A,债券型-混合债,2021-09-22,1.544,0.26,0.72,2.52,2.66
30,30,000046,工银产业债债券B,债券型-混合债,2021-09-22,1.511,0.2,0.67,2.37,2.44
31,31,000047,华夏双债债券A,债券型-混合债,2021-09-22,1.695,2.42,8.1,10.06,9.14
32,32,000048,华夏双债债券C,债券型-混合债,2021-09-22,1.665,2.34,8.05,9.9,8.89
36,36,000054,鹏华双债增利债券,债券型-混合债,2021-09-22,1.4362,1.11,7.68,9.33,8.08
75,75,000107,富国稳健增强债券A/B,债券型-混合债,2021-09-22,1.262,1.37,2.27,4.13,5.5
76,76,000109,富国稳健增强债券C,债券型-混合债,2021-09-22,1.235,1.31,2.15,3.87,5.18
84,84,000118,广发聚鑫债券A,债券型-混合债,2021-09-22,1.5318,1.01,1.44,3.27,4.07
85,85,000119,广发聚鑫债券C,债券型-混合债,2021-09-22,1.526,0.97,1.32,3.09,3.75
104,104,000142,融通增强收益债券A,债券型-混合债,2021-09-22,1.2449,1.04,2.4,3.78,3.5
105,105,000143,鹏华双债加利债券A,债券型-混合债,2021-09-22,1.8213,0.56,2.78,4.47,6.33
115,115,000171,易方达裕丰回报债券,债券型-混合债,2021-09-22,2.165,0.37,0.6,5.35,4.89
123,123,000181,景顺长城四季金利债券A,债券型-混合债,2021-09-22,1.238,-0.24,1.73,3.17,0.49
124,124,000182,景顺长城四季金利债券C,债券型-混合债,2021-09-22,1.205,-0.33,1.6,2.99,0.17
126,126,000184,工银添福债券A,债券型-混合债,2021-09-22,1.665,2.02,2.21,3.16,3.42
127,127,000185,工银添福债券B,债券型-混合债,2021-09-22,1.645,2.05,2.11,3.01,3.13
131,131,000189,易方达丰华债券A,债券型-混合债,2021-09-22,1.3268,0.27,1.64,7.68,6.13
146,146,000207,建信双债增强债券A,债券型-混合债,2021-09-22,1.366,0.89,6.22,6.8,6.47
147,147,000208,建信双债增强债券C,债券型-混合债,2021-09-22,1.325,0.91,6.17,6.6,6.26
164,164,000236,工银月月薪定期支付债券A,债券型-混合债,2021-09-22,1.786,0.56,1.08,2.35,1.3
206,206,000306,天弘弘利债券,债券型-混合债,2021-09-22,1.2548,0.04,1.19,2.16,2.64
226,226,000333,长城稳固收益债券A,债券型-混合债,2021-09-22,1.4089,1.2,4.91,6.47,4.39
227,227,000334,长城稳固收益债券C,债券型-混合债,2021-09-22,1.3736,1.16,4.81,6.26,4.08
230,230,000338,鹏华双债保利债券,债券型-混合债,2021-09-22,1.2485,0.1,1.74,3.27,4.19
238,238,000351,国富恒丰定期债券A,债券型-混合债,2021-09-17,1.025,0.2,1.75,3.09,3.47
239,239,000352,国富恒丰定期债券C,债券型-混合债,2021-09-17,1.023,0.1,1.66,2.91,3.2
241,241,000355,南方丰元信用增强债券A,债券型-混合债,2021-09-22,1.2889,-0.19,1.65,3.32,4.82
242,242,000356,南方丰元信用增强债券C,债券型-混合债,2021-09-22,1.2607,-0.23,1.54,3.11,4.52
253,253,000377,上投摩根双债增利债券A,债券型-混合债,2021-09-22,1.0578,0.56,-0.21,0.08,-2.7
254,254,000378,上投摩根双债增利债券C,债券型-混合债,2021-09-22,1.0528,0.53,-0.3,-0.11,-2.98
258,258,000385,景顺长城景颐双利债券A,债券型-混合债,2021-09-22,1.68,0.48,3.58,6.87,7.01
259,259,000386,景顺长城景颐双利债券C,债券型-混合债,2021-09-22,1.628,0.37,3.43,6.61,6.61
268,268,000406,汇添富双利增强债券A,债券型-混合债,2021-09-22,1.246,0.4,0.32,2.3,1.96
269,269,000407,汇添富双利增强债券C,债券型-混合债,2021-09-22,1.237,0.32,0.24,2.06,1.64
294,294,000463,华商双债丰利债券A,债券型-混合债,2021-09-22,0.645,3.2,4.88,3.04,1.26
297,297,000466,融通通瑞债券A/B,债券型-混合债,2021-09-22,1.287,1.98,7.79,9.16,8.7
305,305,000481,华商双债丰利债券C,债券型-混合债,2021-09-22,0.632,3.1,4.64,2.76,0.8
374,374,000578,鑫元恒鑫收益增强债券型发起式A,债券型-混合债,2021-09-22,1.0139,1.14,2.38,6.25,4.97
375,375,000579,鑫元恒鑫收益增强债券型发起式C,债券型-混合债,2021-09-22,0.9852,1.11,2.28,6.03,4.66
429,429,000673,融通四季添利债券(LOF)C,债券型-混合债,2021-09-22,1.044,2.05,2.55,1.95,2.05
440,440,000692,汇添富双利债券C,债券型-混合债,2021-09-22,1.812,-0.17,-1.15,1.46,2.03
518,518,000810,富国收益增强债券A,债券型-混合债,2021-09-22,1.557,1.9,3.87,6.29,8.54
519,519,000812,富国收益增强债券C,债券型-混合债,2021-09-22,1.507,1.89,3.79,6.06,8.23
549,549,000859,融通通瑞债券C,债券型-混合债,2021-09-22,1.235,1.9,7.67,8.91,8.33
556,556,000875,建信稳定得利债券A,债券型-混合债,2021-09-22,1.497,0.54,2.46,3.38,4.98
557,557,000876,建信稳定得利债券C,债券型-混合债,2021-09-22,1.456,0.48,2.32,3.19,4.67
570,570,000896,鑫元聚鑫收益增强债A,债券型-混合债,2021-09-22,1.029,-0.04,0.85,0.41,-1.09
571,571,000897,鑫元聚鑫收益增强债C,债券型-混合债,2021-09-22,1.0011,-0.07,0.74,0.21,-1.37
624,624,000973,新华增盈回报债券,债券型-混合债,2021-09-22,1.3022,0.92,0.59,2.01,1.5
648,648,001001,华夏债券A/B,债券型-混合债,2021-09-22,1.323,1.38,3.76,4.67,5.5
649,649,001003,华夏债券C,债券型-混合债,2021-09-22,1.301,1.4,3.67,4.58,5.34
656,656,001011,华夏希望债券A,债券型-混合债,2021-09-22,1.287,0.08,2.39,4.21,4.8
657,657,001013,华夏希望债券C,债券型-混合债,2021-09-22,1.254,0.08,2.28,4.07,4.59
669,669,001031,华夏安康债券A,债券型-混合债,2021-09-22,1.602,1.91,4.23,3.89,2.17
670,670,001033,华夏安康债券C,债券型-混合债,2021-09-22,1.556,1.83,4.15,3.73,1.9
671,671,001035,中银恒利半年定开债,债券型-混合债,2021-09-22,1.234,0.49,2.41,4.05,3.87
710,710,001086,华富恒利债券A,债券型-混合债,2021-09-22,1.193,0.59,3.47,4.1,4.01
711,711,001087,华富恒利债券C,债券型-混合债,2021-09-22,1.16,0.61,3.29,3.85,3.66
735,735,001124,融通增强收益债券C,债券型-混合债,2021-09-22,1.1912,1.01,2.3,3.58,3.23
790,790,001199,创金合信聚利债券A,债券型-混合债,2021-09-22,1.1883,-0.14,-0.49,-0.13,0.32
791,791,001200,创金合信聚利债券C,债券型-混合债,2021-09-22,1.157,-0.19,-0.59,-0.33,0.03
840,840,001257,兴业收益增强债券A,债券型-混合债,2021-09-22,1.485,1.78,3.41,5.39,7.45
841,841,001258,兴业收益增强债券C,债券型-混合债,2021-09-22,1.441,1.69,3.3,5.18,7.14
926,926,001367,德邦新添利债券A,债券型-混合债,2021-09-22,1.1729,1.44,2.45,1.02,1.65
1211,1211,001751,华商信用增强债券A,债券型-混合债,2021-09-22,1.512,6.78,23.93,40.0,41.84
1212,1212,001752,华商信用增强债券C,债券型-混合债,2021-09-22,1.476,6.72,23.83,39.77,41.51
1227,1227,001779,中融稳健添利债券,债券型-混合债,2021-09-22,1.054,-0.19,-0.47,0.67,0.19
1286,1286,001862,东方红收益增强债券A,债券型-混合债,2021-09-22,1.1642,1.03,1.55,2.28,3.69
1287,1287,001863,东方红收益增强债券C,债券型-混合债,2021-09-22,1.1377,0.99,1.45,2.07,3.39
1291,1291,001868,招商产业债券C,债券型-混合债,2021-09-22,1.543,0.13,1.71,3.21,4.54
1310,1310,001889,中欧增强回报债券(LOF)E,债券型-混合债,2021-09-22,0.9985,0.26,1.42,1.18,-5.15
1356,1356,001948,建信稳定丰利债券A,债券型-混合债,2021-09-22,1.227,0.0,1.74,1.91,0.66
1357,1357,001949,建信稳定丰利债券C,债券型-混合债,2021-09-22,1.199,-0.08,1.61,1.7,0.42
1362,1362,001957,嘉合磐通债券A,债券型-混合债,2021-09-22,1.2008,1.9,4.65,4.99,6.88
1363,1363,001958,嘉合磐通债券C,债券型-混合债,2021-09-22,1.1886,1.86,4.55,4.77,6.56
1379,1379,001976,海富通一年定开债C,债券型-混合债,2021-09-17,1.662,0.18,1.71,2.72,3.36
1441,1441,002065,景顺长城景盛双息收益债券A,债券型-混合债,2021-09-22,1.148,-0.26,-0.61,-0.35,-0.17
1442,1442,002066,景顺长城景盛双息收益债券C,债券型-混合债,2021-09-22,1.122,-0.27,-0.71,-0.53,-0.44
1488,1488,002138,泓德裕泰债券A,债券型-混合债,2021-09-22,1.2386,2.25,3.95,6.46,6.36
1489,1489,002139,泓德裕泰债券C,债券型-混合债,2021-09-22,1.207,2.22,3.86,6.28,6.09
1564,1564,002245,泰康稳健增利债券A,债券型-混合债,2021-09-22,1.2785,0.66,1.99,2.96,4.24
1565,1565,002246,泰康稳健增利债券C,债券型-混合债,2021-09-22,1.403,0.64,1.93,2.82,4.03
1592,1592,002280,华富安享债券,债券型-混合债,2021-09-22,1.5522,3.03,11.09,15.41,14.35
1641,1641,002351,易方达裕祥回报债券,债券型-混合债,2021-09-22,1.69,0.66,2.74,5.03,6.36
1647,1647,002361,国富恒瑞债券A,债券型-混合债,2021-09-22,1.373,-0.51,-0.29,0.73,4.49
1648,1648,002362,国富恒瑞债券C,债券型-混合债,2021-09-22,1.344,-0.52,-0.37,0.52,4.19
1685,1685,002412,华富安福债券,债券型-混合债,2021-09-22,1.2961,0.71,8.82,10.11,9.17
1694,1694,002421,新华增强债券A,债券型-混合债,2021-09-22,1.283,0.08,0.37,2.8,3.35
1695,1695,002422,新华增强债券C,债券型-混合债,2021-09-22,1.2549,0.05,0.26,2.6,3.05
1708,1708,002441,德邦新添利债券C,债券型-混合债,2021-09-22,1.1953,1.42,2.36,0.84,1.37
1725,1725,002459,华夏鼎利债券发起式A,债券型-混合债,2021-09-22,1.4,1.38,5.33,5.8,5.48
1726,1726,002460,华夏鼎利债券发起式C,债券型-混合债,2021-09-22,1.392,1.31,5.28,5.67,5.44
