,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
3,3,000005,嘉实增强信用定期债券,债券型-长债,2021-09-22,1.0458,0.52,2.44,3.45,4.26
10,10,000015,华夏纯债债券A,债券型-长债,2021-09-22,1.238,0.08,1.23,2.4,2.82
11,11,000016,华夏纯债债券C,债券型-长债,2021-09-22,1.201,0.08,1.18,2.21,2.56
15,15,000024,大摩双利增强债券A,债券型-长债,2021-09-22,1.0907,0.07,0.9,1.86,2.75
16,16,000025,大摩双利增强债券C,债券型-长债,2021-09-22,1.084,0.04,0.8,1.68,2.39
21,21,000032,易方达信用债债券A,债券型-长债,2021-09-22,1.1147,0.1,1.76,2.9,3.55
22,22,000033,易方达信用债债券C,债券型-长债,2021-09-22,1.1115,0.06,1.66,2.7,3.26
23,23,000037,广发景宁债券A,债券型-长债,2021-09-22,1.0596,-0.01,2.13,3.97,4.57
35,35,000053,鹏华永诚一年定开债券,债券型-长债,2021-09-22,1.0211,0.21,1.38,2.65,3.15
44,44,000064,大摩18个月定开债,债券型-长债,2021-09-17,1.071,0.37,2.48,3.86,4.66
49,49,000069,国投瑞银中高等级债券A,债券型-长债,2021-09-22,1.115,0.54,3.38,5.19,5.95
50,50,000070,国投瑞银中高等级债券C,债券型-长债,2021-09-22,1.113,0.54,3.29,5.1,5.77
54,54,000074,工银信用纯债一年定开债A,债券型-长债,2021-09-17,1.603,0.06,1.58,2.82,3.35
57,57,000077,工银信用纯债一年定开债C,债券型-长债,2021-09-17,1.551,0.13,1.51,2.65,3.12
58,58,000078,工银信用纯债三个月定开债A,债券型-长债,2021-09-17,1.4273,-0.17,1.37,2.83,3.8
59,59,000079,工银信用纯债三个月定开债C,债券型-长债,2021-09-17,1.383,-0.21,1.24,2.6,3.52
66,66,000086,南方稳利1年定开债A,债券型-长债,2021-09-22,1.077,0.0,1.13,2.47,3.76
67,67,000087,嘉实中证金边国债ETF联接A,债券型-长债,2021-09-22,1.0379,0.01,0.32,0.57,0.24
68,68,000088,嘉实中证金边国债ETF联接C,债券型-长债,2021-09-22,1.0294,-0.02,0.24,0.42,0.02
