,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
155,155,000216,华安黄金易ETF联接A,商品（不含QDII）,2021-09-22,1.3481,-0.68,-0.01,1.8,-5.06
156,156,000217,华安黄金易ETF联接C,商品（不含QDII）,2021-09-22,1.3334,-0.71,-0.1,1.62,-5.3
157,157,000218,国泰黄金ETF联接A,商品（不含QDII）,2021-09-22,1.3765,-0.66,-0.03,1.74,-5.1
207,207,000307,易方达黄金ETF联接A,商品（不含QDII）,2021-09-22,1.2878,-0.67,-0.03,1.8,-4.95
590,590,000929,博时黄金D,商品（不含QDII）,2021-09-22,3.6953,-0.63,0.04,1.86,-4.95
591,591,000930,博时黄金I,商品（不含QDII）,2021-09-22,3.6287,-0.62,0.04,1.86,-4.96
1824,1824,002610,博时黄金ETF联接A,商品（不含QDII）,2021-09-22,1.2941,-0.64,0.05,1.94,-4.77
1825,1825,002611,博时黄金ETF联接C,商品（不含QDII）,2021-09-22,1.2689,-0.67,-0.05,1.76,-5.02
2074,2074,002963,易方达黄金ETF联接C,商品（不含QDII）,2021-09-22,1.2694,-0.7,-0.13,1.63,-5.19
2845,2845,004253,国泰黄金ETF联接C,商品（不含QDII）,2021-09-22,1.3671,-0.7,-0.12,1.56,-5.34
4981,4981,007910,大成有色金属期货ETF联接A,商品（不含QDII）,2021-09-22,1.1884,4.12,6.16,6.96,11.47
4982,4982,007911,大成有色金属期货ETF联接C,商品（不含QDII）,2021-09-22,1.1795,4.08,6.06,6.73,11.15
4993,4993,007937,华夏饲料豆粕期货ETF联接A,商品（不含QDII）,2021-09-22,1.2514,0.34,2.89,2.95,-1.58
4994,4994,007938,华夏饲料豆粕期货ETF联接C,商品（不含QDII）,2021-09-22,1.245,0.31,2.82,2.79,-1.8
5098,5098,008142,工银瑞信黄金ETF联接A,商品（不含QDII）,2021-09-22,0.9225,-0.66,-0.03,1.04,-6.15
5099,5099,008143,工银瑞信黄金ETF联接C,商品（不含QDII）,2021-09-22,0.9182,-0.68,-0.11,0.87,-6.38
5369,5369,008701,华夏黄金ETF联接A,商品（不含QDII）,2021-09-22,0.9002,-0.65,-0.07,1.57,-4.98
5370,5370,008702,华夏黄金ETF联接C,商品（不含QDII）,2021-09-22,0.8965,-0.68,-0.16,1.4,-5.22
5431,5431,008827,建信易盛郑商所能源化工期货ETF联接A,商品（不含QDII）,2021-09-22,1.4525,13.28,16.54,28.64,34.84
5432,5432,008828,建信易盛郑商所能源化工期货ETF联接C,商品（不含QDII）,2021-09-22,1.447,13.24,16.42,28.37,34.44
5532,5532,008986,广发上海金ETF联接A,商品（不含QDII）,2021-09-22,0.8757,-0.83,-0.24,1.26,-5.86
5533,5533,008987,广发上海金ETF联接C,商品（不含QDII）,2021-09-22,0.8722,-0.86,-0.33,1.08,-6.09
5570,5570,009033,建信上海金ETF联接A,商品（不含QDII）,2021-09-22,0.9175,-0.83,-0.3,1.35,-5.74
5571,5571,009034,建信上海金ETF联接C,商品（不含QDII）,2021-09-22,0.9134,-0.87,-0.4,1.14,-6.01
5667,5667,009198,前海开源黄金ETF联接,商品（不含QDII）,2021-09-22,0.937,-0.64,-0.34,1.22,-4.87
5853,5853,009477,中银上海金ETF联接A,商品（不含QDII）,2021-09-22,0.9342,-0.78,-0.17,1.32,-5.8
5854,5854,009478,中银上海金ETF联接C,商品（不含QDII）,2021-09-22,0.931,-0.8,-0.26,1.15,-6.04
5873,5873,009504,富国上海金ETF联接A,商品（不含QDII）,2021-09-22,0.876,-0.8,-0.24,1.24,-5.81
5874,5874,009505,富国上海金ETF联接C,商品（不含QDII）,2021-09-22,0.8724,-0.84,-0.33,1.05,-6.04
8454,8454,161226,国投瑞银白银期货(LOF),商品（不含QDII）,2021-09-22,0.758,-3.56,-11.14,-14.64,-20.63
