,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
5,5,000008,嘉实中证500ETF联接A,指数型-股票,2021-09-22,2.0473,7.41,11.1,19.33,18.51
26,26,000042,财通中证ESG100指数增强A,指数型-股票,2021-09-22,2.1094,4.56,6.75,10.09,13.16
34,34,000051,华夏沪深300ETF联接A,指数型-股票,2021-09-22,1.6512,1.22,-4.5,-2.72,-5.5
41,41,000059,国联安中证医药100A,指数型-股票,2021-09-22,1.3458,1.4,-8.99,1.91,-0.7
120,120,000176,嘉实沪深300指数研究增强,指数型-股票,2021-09-22,1.9199,0.79,-3.91,-1.48,-2.34
172,172,000248,汇添富中证主要消费ETF联接A,指数型-股票,2021-09-22,2.7325,1.71,-16.92,-12.81,-19.8
211,211,000311,景顺长城沪深300指数增强,指数型-股票,2021-09-22,2.8,2.71,-3.25,-1.13,0.11
212,212,000312,华安沪深300增强A,指数型-股票,2021-09-22,2.5692,1.14,-1.37,6.43,0.82
213,213,000313,华安沪深300增强C,指数型-股票,2021-09-22,2.4525,1.11,-1.47,6.22,0.54
247,247,000368,汇添富沪深300安中指数,指数型-股票,2021-09-22,2.5594,6.44,4.9,6.74,7.76
251,251,000373,华安中证细分医药ETF联接A,指数型-股票,2021-09-22,1.841,1.88,-13.24,-4.26,-10.02
252,252,000376,华安中证细分医药ETF联接C,指数型-股票,2021-09-22,1.79,1.88,-13.32,-4.43,-10.28
303,303,000478,建信中证500指数增强A,指数型-股票,2021-09-22,3.3083,8.64,16.25,25.86,26.17
324,324,000512,国泰沪深300指数增强A,指数型-股票,2021-09-22,1.5421,3.01,-1.87,1.06,-1.83
389,389,000596,前海开源中证军工指数A,指数型-股票,2021-09-22,2.192,-5.84,10.99,23.63,2.14
399,399,000613,国寿安保沪深300ETF联接,指数型-股票,2021-09-22,1.2833,1.24,-4.09,-2.36,-4.53
420,420,000656,前海开源沪深300指数,指数型-股票,2021-09-22,1.901,1.6,-1.81,2.54,0.85
528,528,000826,广发百发100指数A,指数型-股票,2021-09-22,1.567,-3.75,-1.76,9.05,2.02
529,529,000827,广发百发100指数E,指数型-股票,2021-09-22,1.564,-3.75,-1.76,8.99,1.96
536,536,000835,华润元大富时中国A50指数A,指数型-股票,2021-09-22,2.8014,1.12,-7.98,-5.86,-5.62
