,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
77,77,000110,金鹰元安混合A,混合型-偏债,2021-09-22,1.5793,0.59,1.73,4.44,5.5
87,87,000121,华夏永福混合A,混合型-偏债,2021-09-22,2.495,1.38,2.97,4.83,5.1
178,178,000256,上投摩根红利回报混合A,混合型-偏债,2021-08-18,1.0022,-0.09,-0.06,-3.8,0.61
246,246,000367,国泰安康定期支付混合A,混合型-偏债,2021-09-22,1.962,0.62,3.65,7.04,7.51
288,288,000436,易方达裕惠定开混合发起式,混合型-偏债,2021-09-22,1.754,1.15,3.24,5.66,7.67
320,320,000507,泰达宏利宏达混合A,混合型-偏债,2021-09-22,1.545,2.32,3.14,4.89,6.11
321,321,000508,泰达宏利宏达混合B,混合型-偏债,2021-09-22,1.489,2.27,3.04,4.71,5.9
409,409,000639,宝盈祥瑞混合A,混合型-偏债,2021-09-22,1.121,2.37,3.03,4.38,1.91
514,514,000804,中信建投稳利混合A,混合型-偏债,2021-09-22,1.2169,-1.12,-1.08,-1.14,0.07
569,569,000894,中欧睿达定期开放混合A,混合型-偏债,2021-09-17,1.53,0.79,2.75,6.25,6.69
593,593,000932,前海开源睿远稳健增利混合A,混合型-偏债,2021-09-22,1.377,0.73,1.03,4.32,3.77
594,594,000933,前海开源睿远稳健增利混合C,混合型-偏债,2021-09-22,1.31,0.69,0.92,4.05,3.31
727,727,001115,广发聚安混合A,混合型-偏债,2021-09-22,1.371,-0.15,0.73,1.33,3.32
728,728,001116,广发聚安混合C,混合型-偏债,2021-09-22,1.342,-0.22,0.6,1.13,2.99
774,774,001182,易方达安心回馈混合,混合型-偏债,2021-09-22,2.495,0.73,3.36,6.13,7.17
780,780,001189,广发聚宝混合A,混合型-偏债,2021-09-22,1.5072,0.41,0.85,1.3,3.09
794,794,001203,东方红稳健精选混合A,混合型-偏债,2021-09-22,1.598,1.86,2.57,3.0,4.24
795,795,001204,东方红稳健精选混合C,混合型-偏债,2021-09-22,1.5991,1.81,2.43,2.74,3.86
881,881,001309,东方红睿逸定期开放混合,混合型-偏债,2021-09-17,1.865,1.03,1.47,1.91,3.73
915,915,001355,广发聚泰混合A,混合型-偏债,2021-09-22,1.164,-0.17,-0.09,-0.68,0.09
916,916,001356,广发聚泰混合C,混合型-偏债,2021-09-22,1.161,-0.17,-0.17,-0.34,0.35
918,918,001358,宝盈祥泰混合A,混合型-偏债,2021-09-22,1.1518,0.83,-1.7,2.3,3.59
1013,1013,001485,华安添颐混合,混合型-偏债,2021-09-22,1.268,1.14,0.61,3.99,4.47
1018,1018,001495,东方新价值混合A,混合型-偏债,2021-09-22,1.4934,3.49,2.95,5.33,6.48
1074,1074,001571,嘉合磐石A,混合型-偏债,2021-09-22,1.0888,-3.37,-0.55,1.38,-0.08
1075,1075,001572,嘉合磐石C,混合型-偏债,2021-09-22,1.057,-3.4,-0.65,1.17,-0.38
1085,1085,001584,国投瑞银新活力定开混合A,混合型-偏债,2021-09-22,1.2425,0.48,1.96,2.84,3.25
1086,1086,001585,国投瑞银新活力定开混合C,混合型-偏债,2021-09-22,1.2243,0.47,1.93,2.79,3.17
1096,1096,001603,易方达安盈回报混合,混合型-偏债,2021-09-22,2.502,1.87,2.63,15.16,12.92
1106,1106,001615,中欧睿尚定期开放混合A,混合型-偏债,2021-09-22,1.284,0.78,1.58,2.39,2.64
1183,1183,001720,工银新增利混合,混合型-偏债,2021-09-22,1.18,1.29,2.19,3.13,3.47
1184,1184,001721,工银新增益混合,混合型-偏债,2021-09-22,1.35,-0.37,0.9,7.83,5.06
1185,1185,001722,工银银和利混合,混合型-偏债,2021-09-22,1.518,2.78,3.2,10.32,10.24
1332,1332,001914,中信建投聚利混合A,混合型-偏债,2021-09-22,1.2,1.26,4.85,11.0,5.2
1344,1344,001932,国寿安保灵活优选混合,混合型-偏债,2021-09-22,1.2605,-0.25,-0.73,1.49,1.44
1355,1355,001947,上投摩根安鑫回报A,混合型-偏债,2021-08-27,1.0294,-0.01,0.22,0.43,2.95
1396,1396,002000,工银新生利混合,混合型-偏债,2021-09-22,1.393,0.29,1.46,6.83,6.74
1400,1400,002005,工银新得利混合,混合型-偏债,2021-09-22,1.243,0.48,-2.28,0.57,-0.4
