,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
0,0,000001,华夏成长混合,混合型-偏股,2021-09-22,1.255,1.29,-12.73,0.16,-7.65
4,4,000006,西部利得量化成长混合A,混合型-偏股,2021-09-22,2.3826,3.48,13.86,33.22,32.3
8,8,000011,华夏大盘精选混合A,混合型-偏股,2021-09-22,19.484,-3.32,-2.87,-3.05,-0.8
12,12,000017,财通可持续混合,混合型-偏股,2021-09-22,1.996,2.78,-10.05,-0.75,-8.98
13,13,000020,景顺长城品质投资混合,混合型-偏股,2021-09-22,4.03,1.66,-6.45,6.73,-2.84
14,14,000021,华夏优势增长混合,混合型-偏股,2021-09-22,3.354,-3.54,3.2,20.6,7.78
20,20,000031,华夏复兴混合,混合型-偏股,2021-09-22,3.549,-9.28,-1.66,15.68,2.1
24,24,000039,农银高增长混合,混合型-偏股,2021-09-22,4.2362,1.69,26.43,49.93,27.44
38,38,000056,建信消费升级混合,混合型-偏股,2021-09-22,2.817,-1.09,-12.02,-4.67,-13.96
39,39,000057,中银消费主题混合,混合型-偏股,2021-09-22,2.328,-1.31,-7.73,4.63,-2.68
42,42,000061,华夏盛世混合,混合型-偏股,2021-09-22,1.671,7.74,27.27,55.3,51.77
46,46,000066,诺安鸿鑫混合,混合型-偏股,2021-09-22,2.0572,3.04,3.96,17.7,26.0
63,63,000083,汇添富消费行业混合,混合型-偏股,2021-09-22,7.359,1.24,-17.84,-6.04,-12.43
83,83,000117,广发轮动配置混合,混合型-偏股,2021-09-22,3.118,3.76,-15.48,-1.52,-11.9
86,86,000120,中银美丽中国混合,混合型-偏股,2021-09-22,2.995,5.16,18.8,23.35,18.05
90,90,000124,华宝服务优选混合,混合型-偏股,2021-09-22,4.191,-5.61,6.56,28.99,12.69
92,92,000127,农银行业领先混合,混合型-偏股,2021-09-22,3.5329,-0.35,-4.29,-4.72,-7.94
113,113,000166,中海信息产业精选混合,混合型-偏股,2021-09-22,1.5079,-4.37,-1.08,-0.38,-15.74
116,116,000172,华泰柏瑞量化增强混合A,混合型-偏股,2021-09-22,1.703,3.53,2.41,4.48,4.35
117,117,000173,汇添富美丽30混合,混合型-偏股,2021-09-22,3.452,-1.6,-5.76,3.82,0.58
139,139,000199,国泰量化策略收益混合,混合型-偏股,2021-09-22,2.0153,2.74,0.97,9.74,7.04
148,148,000209,信诚新兴产业混合A,混合型-偏股,2021-09-22,5.6815,9.45,53.85,108.65,96.39
159,159,000220,富国医疗保健行业混合A,混合型-偏股,2021-09-22,5.395,11.4,-10.47,21.07,9.68
173,173,000251,工银金融地产混合A,混合型-偏股,2021-09-22,2.596,2.33,-1.67,-3.03,-1.89
180,180,000263,工银信息产业混合A,混合型-偏股,2021-09-22,4.378,-5.5,-4.72,9.97,1.06
197,197,000294,华安生态优先混合,混合型-偏股,2021-09-22,3.812,-1.52,-24.06,-11.53,-16.55
208,208,000308,建信创新中国混合,混合型-偏股,2021-09-22,6.71,7.98,27.74,41.2,38.64
221,221,000327,南方新蓝筹混合,混合型-偏股,2021-09-22,2.5732,3.49,6.02,20.94,18.08
231,231,000339,长城医疗保健混合,混合型-偏股,2021-09-22,4.5362,10.43,-0.1,20.01,14.87
240,240,000354,长盛城镇化主题混合,混合型-偏股,2021-09-22,1.872,-2.35,20.7,33.71,16.35
285,285,000432,中银优秀企业混合,混合型-偏股,2021-09-22,2.373,0.85,4.72,16.9,5.42
292,292,000458,英大领先回报混合发起式,混合型-偏股,2021-09-22,1.5597,3.44,6.89,28.96,22.56
330,330,000522,华润元大信息传媒科技混合,混合型-偏股,2021-09-22,2.522,-7.89,-7.86,10.61,-4.76
338,338,000532,景顺长城优势企业混合,混合型-偏股,2021-09-22,3.922,1.61,-13.38,4.42,-5.24
350,350,000547,建信健康民生混合,混合型-偏股,2021-09-22,6.898,7.06,21.38,35.65,41.85
353,353,000550,广发新动力混合,混合型-偏股,2021-09-22,2.941,0.93,-6.78,-0.44,-6.25
354,354,000551,信诚幸福消费混合,混合型-偏股,2021-09-22,2.333,-0.77,-13.78,-5.89,-11.66
366,366,000566,华泰柏瑞创新升级混合A,混合型-偏股,2021-09-22,3.529,0.09,18.86,27.08,14.53
382,382,000589,光大银发商机混合,混合型-偏股,2021-09-22,3.196,0.88,-3.68,6.75,1.95
384,384,000591,中银健康生活混合,混合型-偏股,2021-09-22,2.747,4.49,17.64,19.54,13.75
388,388,000595,嘉实泰和混合,混合型-偏股,2021-09-22,4.192,-4.29,-13.39,4.02,-6.53
392,392,000601,华宝创新优选混合,混合型-偏股,2021-09-22,2.851,-5.47,6.02,27.11,10.93
398,398,000612,华宝生态中国混合,混合型-偏股,2021-09-22,4.315,1.72,20.3,36.51,27.29
412,412,000646,华润元大量化优选混合A,混合型-偏股,2021-09-22,1.4381,-1.53,-10.96,-13.82,-4.62
510,510,000800,华商未来主题混合,混合型-偏股,2021-09-22,1.032,2.18,20.42,28.84,16.22
546,546,000849,汇丰晋信双核策略混合A,混合型-偏股,2021-09-22,1.6884,4.25,3.39,1.56,1.75
547,547,000850,汇丰晋信双核策略混合C,混合型-偏股,2021-09-22,1.6564,4.2,3.25,1.3,1.38
596,596,000935,浙商汇金转型成长,混合型-偏股,2021-09-22,1.298,-1.14,-1.67,7.99,-1.67
599,599,000940,富国中小盘精选混合,混合型-偏股,2021-09-22,3.275,-0.37,8.16,10.53,11.85
603,603,000945,华夏医疗健康混合A,混合型-偏股,2021-09-22,2.826,6.92,-12.7,15.91,7.33
604,604,000946,华夏医疗健康混合C,混合型-偏股,2021-09-22,2.734,6.92,-12.79,15.65,6.92
616,616,000965,汇丰晋信新动力混合,混合型-偏股,2021-09-22,1.5639,-5.35,-4.94,18.12,-3.33
647,647,001000,中欧明睿新起点混合,混合型-偏股,2021-09-22,2.386,0.04,1.84,34.2,14.71
702,702,001071,华安媒体互联网混合,混合型-偏股,2021-09-22,2.915,2.39,1.85,7.64,22.07
707,707,001076,易方达改革红利混合,混合型-偏股,2021-09-22,1.663,0.0,-17.47,-8.12,-21.15
712,712,001088,华宝国策导向混合,混合型-偏股,2021-09-22,1.162,-1.53,2.92,18.21,11.84
730,730,001118,华宝事件驱动混合,混合型-偏股,2021-09-22,1.051,-3.93,-8.61,3.04,-5.4
748,748,001144,大成互联网思维混合,混合型-偏股,2021-09-22,1.569,-1.13,-4.39,-0.88,-5.77
839,839,001256,泓德优选成长混合,混合型-偏股,2021-09-22,1.8255,0.09,-1.11,3.01,5.89
846,846,001267,泰达宏利蓝筹混合,混合型-偏股,2021-09-22,1.657,6.42,29.96,46.38,35.16
847,847,001268,富国国家安全主题混合A,混合型-偏股,2021-09-22,1.085,-1.27,-13.2,-6.95,-14.16
879,879,001306,中欧永裕混合A,混合型-偏股,2021-09-22,1.822,-5.45,-2.67,-8.81,-10.33
880,880,001307,中欧永裕混合C,混合型-偏股,2021-09-22,1.734,-5.5,-2.86,-9.17,-10.85
912,912,001349,富国改革动力混合,混合型-偏股,2021-09-22,0.872,1.51,-2.79,3.69,0.35
937,937,001382,易方达国企改革混合,混合型-偏股,2021-09-22,2.176,1.21,-14.8,-5.27,-15.59
953,953,001403,招商国企改革主题混合基金,混合型-偏股,2021-09-22,1.728,5.69,-0.17,10.77,6.67
994,994,001463,光大一带一路混合,混合型-偏股,2021-09-22,1.384,1.39,-4.81,4.3,-5.08
1004,1004,001475,易方达国防军工混合,混合型-偏股,2021-09-22,1.881,-7.52,18.98,43.7,18.98
1009,1009,001480,财通成长优选混合,混合型-偏股,2021-09-22,2.904,20.6,48.85,48.39,55.71
1032,1032,001513,易方达信息产业混合,混合型-偏股,2021-09-22,2.865,-2.78,12.53,34.38,16.23
1065,1065,001558,天弘医疗健康混合A,混合型-偏股,2021-09-22,2.0047,4.89,-12.0,9.97,-0.89
1066,1066,001559,天弘医疗健康混合C,混合型-偏股,2021-09-22,1.9624,4.85,-12.09,9.75,-1.18
1105,1105,001614,东方区域发展混合,混合型-偏股,2021-09-22,1.38,-2.97,17.94,30.55,28.96
1166,1166,001702,东方创新科技混合,混合型-偏股,2021-09-22,2.8582,2.5,28.82,44.81,29.66
1186,1186,001723,华商新动力混合,混合型-偏股,2021-09-22,0.8415,-0.82,-1.42,16.96,1.28
1252,1252,001811,中欧明睿新常态混合A,混合型-偏股,2021-09-22,3.4994,2.86,22.23,51.29,49.42
1262,1262,001824,博时沪港深成长企业,混合型-偏股,2021-09-22,1.545,-1.78,-11.26,-11.46,-14.12
1302,1302,001881,中欧新趋势混合E,混合型-偏股,2021-09-22,1.817,-0.13,-2.07,-1.52,-2.05
1303,1303,001882,中欧价值发现混合E,混合型-偏股,2021-09-22,2.5572,8.52,11.81,7.71,19.28
1304,1304,001883,中欧新动力混合(LOF)E,混合型-偏股,2021-09-22,3.5011,-1.72,-1.01,-2.3,0.77
1305,1305,001884,中欧互通精选混合E,混合型-偏股,2021-09-22,2.5576,4.63,7.49,18.53,15.13
1307,1307,001886,中欧行业成长混合(LOF)E,混合型-偏股,2021-09-22,2.5117,1.2,-3.96,12.82,5.11
1309,1309,001888,中欧盛世成长混合(LOF)E,混合型-偏股,2021-09-22,2.5721,-5.53,-2.98,-9.63,-11.17
1320,1320,001900,诺安精选价值混合,混合型-偏股,2021-09-22,1.5409,-1.84,-9.45,-9.09,-0.72
1360,1360,001955,中欧养老产业混合A,混合型-偏股,2021-09-22,2.892,3.62,7.83,12.79,17.75
1381,1381,001980,中欧量化驱动混合,混合型-偏股,2021-09-22,1.9905,5.5,12.88,23.99,39.74
1386,1386,001985,富国低碳新经济混合A,混合型-偏股,2021-09-22,3.472,1.64,14.78,28.45,18.46
1404,1404,002011,华夏红利混合,混合型-偏股,2021-09-22,3.906,-0.38,1.77,13.32,6.4
1516,1516,002174,东方互联网嘉混合,混合型-偏股,2021-09-22,1.1423,2.41,-0.19,8.04,12.56
1520,1520,002179,华安事件驱动量化策略混合,混合型-偏股,2021-09-22,1.955,0.77,16.72,45.9,30.51
1608,1608,002305,光大风格轮动混合A,混合型-偏股,2021-09-22,1.504,7.89,11.74,24.81,27.03
1635,1635,002340,富国价值优势混合,混合型-偏股,2021-09-22,3.93,2.69,2.26,13.98,19.38
1697,1697,002424,博时文体娱乐主题混合,混合型-偏股,2021-09-22,2.025,0.95,-8.74,4.44,-4.44
1785,1785,002553,博时创业成长混合C,混合型-偏股,2021-09-22,2.733,-2.91,-11.44,-3.6,-7.95
1792,1792,002562,泓德泓益量化混合,混合型-偏股,2021-09-22,1.7786,-2.55,-8.26,2.38,-4.06
1812,1812,002593,富国美丽中国混合A,混合型-偏股,2021-09-22,3.006,0.87,3.37,5.44,9.43
1816,1816,002598,平安消费精选混合A,混合型-偏股,2021-09-22,1.2478,-1.85,-19.43,-12.54,-16.29
1817,1817,002599,平安消费精选混合C,混合型-偏股,2021-09-22,1.2346,-1.91,-19.56,-12.82,-16.67
1835,1835,002622,广发稳裕混合A,混合型-偏股,2021-09-22,1.3546,0.11,0.43,0.86,3.01
1888,1888,002692,富国创新科技混合A,混合型-偏股,2021-09-22,2.276,-6.8,-8.45,-4.41,-13.36
1897,1897,002708,大摩健康产业混合,混合型-偏股,2021-09-22,3.748,12.86,-1.99,29.96,29.46
2112,2112,003025,新华红利回报混合,混合型-偏股,2021-09-22,1.155,1.16,1.43,4.39,3.54
2148,2148,003095,中欧医疗健康混合A,混合型-偏股,2021-09-22,3.644,12.47,-10.38,19.63,10.49
2149,2149,003096,中欧医疗健康混合C,混合型-偏股,2021-09-22,3.597,12.37,-10.57,19.12,9.84
2412,2412,003494,富国天惠成长混合C,混合型-偏股,2021-09-22,3.3058,-2.24,-7.88,-3.75,-5.08
2455,2455,003567,华夏行业景气混合,混合型-偏股,2021-09-22,3.7761,5.65,34.82,79.77,71.62
2568,2568,003751,万家瑞隆混合,混合型-偏股,2021-09-22,2.5234,11.05,30.55,34.48,49.07
2602,2602,003822,中信建投轮换混合A,混合型-偏股,2021-09-22,2.6761,-0.09,20.11,29.25,31.0
2603,2603,003823,中信建投轮换混合C,混合型-偏股,2021-09-22,2.6476,-0.12,19.99,28.99,30.61
2730,2730,004076,国联安锐意成长混合,混合型-偏股,2021-09-22,2.2012,3.42,-15.5,-7.88,-11.74
2755,2755,004112,创金合信国企活力混合,混合型-偏股,2021-09-22,1.411,2.77,-4.64,0.81,-2.39
2780,2780,004148,圆信永丰多策略,混合型-偏股,2021-09-22,2.3057,1.17,2.07,21.55,11.65
2798,2798,004183,富国产业升级混合A,混合型-偏股,2021-09-22,2.4436,0.42,-7.12,0.68,-3.0
2817,2817,004212,中融量化智选混合A,混合型-偏股,2021-09-22,1.5497,-0.51,10.96,10.29,4.45
2822,2822,004221,长信量化先锋混合C,混合型-偏股,2021-09-22,2.061,6.68,12.93,15.79,15.92
2829,2829,004231,中欧行业成长混合(LOF)C,混合型-偏股,2021-09-22,2.4258,1.13,-4.16,12.37,4.5
2830,2830,004232,中欧价值发现混合C,混合型-偏股,2021-09-22,2.2343,8.44,11.58,7.27,18.59
2831,2831,004233,中欧盛世成长混合(LOF)C,混合型-偏股,2021-09-22,2.4907,-5.6,-3.18,-9.99,-11.68
2834,2834,004236,中欧新动力混合(LOF)C,混合型-偏股,2021-09-22,3.4011,-1.79,-1.2,-2.69,0.19
2844,2844,004250,银河量化优选混合,混合型-偏股,2021-09-22,2.1016,6.56,3.51,19.23,28.03
2880,2880,004332,恒生沪港深新兴产业精选混合,混合型-偏股,2021-09-22,2.2138,2.08,21.26,44.31,30.56
2894,2894,004351,汇丰晋信珠三角区域发展混合,混合型-偏股,2021-09-22,1.8139,-0.7,14.12,20.31,5.62
2900,2900,004359,创金合信量化核心混合A,混合型-偏股,2021-09-22,1.7187,2.17,-4.23,-1.92,-5.05
2901,2901,004360,创金合信量化核心混合C,混合型-偏股,2021-09-22,1.6501,2.1,-4.43,-2.31,-5.61
2909,2909,004374,华泰保兴吉年丰混合发起A,混合型-偏股,2021-09-22,2.9771,0.67,22.11,24.11,23.93
2910,2910,004375,华泰保兴吉年丰混合发起C,混合型-偏股,2021-09-22,2.9454,0.66,22.05,23.99,23.76
2938,2938,004424,汇添富文体娱乐混合,混合型-偏股,2021-09-22,2.3363,-1.37,-19.7,-13.74,-15.09
2943,2943,004434,博时逆向投资混合A,混合型-偏股,2021-09-22,1.8728,-2.25,-3.44,5.46,2.79
2944,2944,004435,博时逆向投资混合C,混合型-偏股,2021-09-22,1.8312,-2.29,-3.56,5.2,2.42
2970,2970,004477,嘉实沪港深回报混合,混合型-偏股,2021-09-22,2.0201,0.35,-10.93,-1.52,-4.77
2987,2987,004505,博时新兴消费主题混合A,混合型-偏股,2021-09-22,2.118,2.47,-14.01,-11.64,-15.31
3065,3065,004677,博时战略新兴产业混合,混合型-偏股,2021-09-22,2.187,1.44,-2.76,4.39,0.18
3136,3136,004783,中融量化智选混合C,混合型-偏股,2021-09-22,1.5062,-0.59,10.78,9.99,4.03
3176,3176,004845,南华瑞盈混合发起A,混合型-偏股,2021-09-22,1.4122,-0.46,-6.71,15.48,3.24
3177,3177,004846,南华瑞盈混合发起C,混合型-偏股,2021-09-22,1.4637,-0.49,-6.82,15.15,2.82
3194,3194,004868,交银股息优化混合,混合型-偏股,2021-09-22,2.6135,-0.1,-16.81,-3.21,-5.69
3197,3197,004871,中银金融地产混合A,混合型-偏股,2021-09-22,1.5042,1.03,-4.04,-5.15,-3.32
3204,3204,004881,中银量化价值混合A,混合型-偏股,2021-09-22,1.5493,2.24,1.75,6.53,3.89
3232,3232,004917,中银证券祥瑞混合A,混合型-偏股,2021-09-22,1.1514,0.38,-5.41,7.55,-5.31
3233,3233,004918,中银证券祥瑞混合C,混合型-偏股,2021-09-22,1.1288,0.37,-5.43,7.49,-5.35
3240,3240,004926,中航军民融合精选A,混合型-偏股,2021-09-22,1.5346,-0.81,0.58,0.63,-1.47
