,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
274,274,000414,嘉实绝对收益策略定期混合,混合型-平衡,2021-09-22,1.446,0.28,0.56,4.86,7.43
379,379,000585,嘉实对冲套利定期混合,混合型-平衡,2021-09-22,1.356,1.19,3.27,6.19,8.39
483,483,000753,华宝量化对冲混合A,混合型-平衡,2021-09-22,1.1933,1.07,1.04,1.12,1.48
484,484,000754,华宝量化对冲混合C,混合型-平衡,2021-09-22,1.172,1.03,0.94,0.91,1.19
490,490,000762,汇添富绝对收益定开混合A,混合型-平衡,2021-09-22,1.405,-1.54,-2.02,1.96,0.57
565,565,000887,上投摩根稳进回报混合,混合型-平衡,2021-09-17,1.0126,0.25,1.36,0.77,2.12
640,640,000992,广发对冲套利定期开放混合,混合型-平衡,2021-09-17,1.385,1.17,1.47,0.65,1.32
988,988,001448,华商双翼平衡混合,混合型-平衡,2021-09-22,1.717,9.78,22.38,42.49,32.48
1125,1125,001641,富国绝对收益多策略混合A,混合型-平衡,2021-09-22,1.35,-0.59,1.43,2.12,0.75
1397,1397,002001,华夏回报混合A,混合型-平衡,2021-09-22,1.48,1.73,-14.58,-6.25,-13.5
1411,1411,002021,华夏回报二号混合,混合型-平衡,2021-09-22,1.228,1.81,-15.07,-6.76,-14.18
1826,1826,002612,融通通慧混合A/B,混合型-平衡,2021-09-22,1.6307,0.97,1.91,6.74,6.53
3129,3129,004769,申万菱信价值优先混合,混合型-平衡,2021-09-22,1.671,0.56,-2.53,3.32,-0.35
3424,3424,005206,南方优选成长混合C,混合型-平衡,2021-09-22,4.503,0.96,-6.71,-2.41,-5.08
3478,3478,005280,安信稳健阿尔法定开混合A,混合型-平衡,2021-09-22,1.2303,0.66,1.59,0.74,3.05
3564,3564,005418,申万菱信量化驱动混合,混合型-平衡,2021-09-22,1.6294,3.73,1.41,12.23,7.37
3727,3727,005706,兴业龙腾双益平衡混合,混合型-平衡,2021-09-22,1.7281,0.87,-1.88,2.22,1.82
4033,4033,006245,嘉实养老2030混合(FOF),混合型-平衡,2021-09-16,1.5186,3.12,8.69,9.18,8.49
4062,4062,006289,华夏养老2040(FOF),混合型-平衡,2021-09-16,1.5796,1.9,7.35,13.99,7.99
4069,4069,006296,鹏华养老2035混合(FOF),混合型-平衡,2021-09-16,1.4316,2.05,3.84,8.43,2.16
4076,4076,006306,泰达宏利泰和平衡养老(FOF),混合型-平衡,2021-09-16,1.4464,-0.22,2.28,5.27,4.26
4077,4077,006307,嘉实养老2040混合(FOF),混合型-平衡,2021-09-16,1.6602,4.02,10.61,11.42,10.18
4232,4232,006575,华安养老2030三年(FOF),混合型-平衡,2021-09-16,1.2383,-1.42,-0.39,1.28,-0.41
4235,4235,006580,兴全安泰养老三年(FOF),混合型-平衡,2021-09-17,1.5955,0.33,1.28,2.85,3.85
4263,4263,006620,华夏养老2045(FOF)A,混合型-平衡,2021-09-16,1.7822,1.58,7.03,13.46,7.0
4264,4264,006621,华夏养老2045(FOF)C,混合型-平衡,2021-09-16,1.765,1.55,6.92,13.24,6.7
4395,4395,006859,易方达汇诚养老2033(FOF),混合型-平衡,2021-09-16,1.3005,-0.68,1.81,4.24,3.59
4396,4396,006860,易方达汇诚养老2038(FOF),混合型-平衡,2021-09-16,1.351,-0.76,1.3,4.06,2.96
4406,4406,006872,长信颐天平衡养老(FOF)A,混合型-平衡,2021-09-16,1.102,0.29,5.59,6.44,2.85
4407,4407,006873,长信颐天平衡养老(FOF)C,混合型-平衡,2021-09-16,1.0996,0.28,5.56,6.39,2.78
4418,4418,006886,工银养老2050混合(FOF),混合型-平衡,2021-09-16,1.5559,-2.98,0.04,2.42,0.24
4419,4419,006891,华夏养老2050五年(FOF),混合型-平衡,2021-09-16,1.6953,2.8,7.53,16.76,7.66
4420,4420,006894,兴业养老2035(FOF)A,混合型-平衡,2021-09-16,1.2914,-2.48,1.02,4.71,-0.59
4421,4421,006895,兴业养老2035(FOF)C,混合型-平衡,2021-09-16,1.2845,-2.51,0.93,4.51,-0.86
4456,4456,006952,中银景元回报混合,混合型-平衡,2021-09-22,1.3088,0.93,0.55,5.71,4.49
4518,4518,007059,汇添富养老2040五年持有混合(FOF),混合型-平衡,2021-09-17,1.7002,1.99,3.08,9.49,6.06
4610,4610,007232,万家平衡养老目标三年(FOF),混合型-平衡,2021-09-16,1.3247,-0.59,1.58,3.81,2.06
4622,4622,007249,广发均衡养老三年持有混合(FOF),混合型-平衡,2021-09-16,1.3207,1.23,3.65,5.55,3.67
4630,4630,007272,景顺稳健养老目标三年混合(FOF),混合型-平衡,2021-09-16,1.2226,-0.96,0.76,2.68,1.42
4631,4631,007274,景顺长城养老混合(FOF),混合型-平衡,2021-09-16,1.3703,-1.64,1.9,6.0,2.67
4641,4641,007297,大成养老2040(FOF)A,混合型-平衡,2021-09-16,1.4295,-0.27,3.52,6.46,3.12
4642,4642,007298,大成养老2040(FOF)C,混合型-平衡,2021-09-16,1.4169,-0.3,3.42,6.24,2.84
4686,4686,007387,融通通慧混合C,混合型-平衡,2021-09-22,1.6197,0.95,1.84,6.59,6.3
4826,4826,007650,工银养老2040(FOF),混合型-平衡,2021-09-16,1.3747,-1.18,-1.38,2.42,1.01
4827,4827,007651,工银养老2045三年持有混合(FOF),混合型-平衡,2021-09-16,1.3096,-1.56,-1.41,3.01,0.32
4835,4835,007660,招商和悦均衡养老三年(FOF),混合型-平衡,2021-09-16,1.2862,-0.52,2.69,4.69,2.66
4836,4836,007661,南方养老2030三年(FOF),混合型-平衡,2021-09-16,1.3242,0.88,1.23,5.46,3.71
4842,4842,007668,广发养老2035三年持有期混合(FOF),混合型-平衡,2021-09-16,1.101,0.52,1.9,3.0,3.19
4856,4856,007688,泰达养老2040三年持有混合(FOF)A,混合型-平衡,2021-09-16,1.2002,-0.21,0.62,3.15,1.27
4859,4859,007694,泰达养老2040三年持有混合(FOF)C,混合型-平衡,2021-09-16,1.1928,-0.24,0.52,2.94,0.98
4860,4860,007695,泰达养老2040三年持有混合(FOF)E,混合型-平衡,2021-09-16,1.2003,-0.2,0.63,3.15,1.27
4874,4874,007725,招商瑞文混合A,混合型-平衡,2021-09-22,1.2551,0.74,3.05,3.61,7.48
4875,4875,007726,招商瑞文混合C,混合型-平衡,2021-09-22,1.2475,0.72,2.98,3.45,7.26
4886,4886,007747,海富通平衡养老(FOF),混合型-平衡,2021-09-16,1.2466,-0.69,3.14,4.35,4.41
4887,4887,007748,天弘养老2035三年(FOF),混合型-平衡,2021-09-17,1.2644,1.75,4.62,7.47,5.31
4905,4905,007779,银华尊和养老2030混合(FOF),混合型-平衡,2021-09-16,1.4221,-0.24,3.82,7.14,4.02
4906,4906,007780,银华尊和养老2040混合(FOF),混合型-平衡,2021-09-16,1.5101,-0.02,4.4,6.54,2.69
5097,5097,008140,汇添富绝对收益定开混合C,混合型-平衡,2021-09-22,1.384,-1.63,-2.26,1.54,-0.07
5268,5268,008479,景顺长城泰申回报混合,混合型-平衡,2021-09-22,1.1277,0.22,1.08,2.95,3.88
5272,5272,008499,鹏扬景科混合A,混合型-平衡,2021-09-22,1.267,-0.08,1.61,10.5,8.0
5273,5273,008500,鹏扬景科混合C,混合型-平衡,2021-09-22,1.2599,-0.11,1.51,10.29,7.68
5299,5299,008541,西部利得新享混合A,混合型-平衡,2021-09-22,1.0001,0.35,0.87,1.12,0.45
5300,5300,008542,西部利得新享混合C,混合型-平衡,2021-09-22,0.9988,0.34,0.85,1.08,0.39
5304,5304,008553,万家养老2035三年持有期混合(FOF),混合型-平衡,2021-09-16,1.1407,-1.74,2.64,6.77,2.44
5322,5322,008609,广发养老2040(FOF),混合型-平衡,2021-09-16,1.1914,0.74,2.17,3.36,3.34
5329,5329,008625,国富平衡养老三年混合(FOF),混合型-平衡,2021-09-16,1.2288,2.56,8.2,8.13,8.31
5332,5332,008631,国泰民泽平衡养老FOF,混合型-平衡,2021-09-16,1.1462,4.13,10.46,11.4,9.4
5368,5368,008697,交银养老2035三年(FOF),混合型-平衡,2021-09-16,1.3298,0.05,3.74,5.64,4.58
5401,5401,008753,大成兴享平衡养老三年(FOF),混合型-平衡,2021-09-16,1.1496,0.04,3.44,6.42,3.95
5425,5425,008809,安信民稳增长混合A,混合型-平衡,2021-09-22,1.1671,3.63,4.56,6.89,14.01
5426,5426,008810,安信民稳增长混合C,混合型-平衡,2021-09-22,1.159,3.58,4.45,6.67,13.68
5464,5464,008886,民生卓越配置6个月混合(FOF),混合型-平衡,2021-09-17,1.1612,0.55,1.49,3.33,2.11
5543,5543,009003,中银安康平衡养老三年(FOF),混合型-平衡,2021-09-16,1.1758,2.19,6.92,8.66,7.21
5637,5637,009146,新华精选成长3个月混合(FOF),混合型-平衡,2021-09-17,1.2757,-0.41,-0.09,6.46,1.05
5639,5639,009149,富国绝对收益多策略混合C,混合型-平衡,2021-09-22,1.335,-0.67,1.21,1.75,0.23
5658,5658,009183,东方红颐和平衡养老三年(FOF),混合型-平衡,2021-09-16,1.1552,-0.91,2.58,3.64,3.37
5678,5678,009213,易方达如意安泰(FOF)A,混合型-平衡,2021-09-17,1.0612,0.33,2.06,3.35,4.27
5679,5679,009214,易方达如意安泰(FOF)C,混合型-平衡,2021-09-17,1.0578,0.29,1.98,3.2,4.06
5743,5743,009326,广发稳健增长混合C,混合型-平衡,2021-09-22,1.5914,-1.32,-6.51,-5.57,-7.63
5757,5757,009340,工银养老2055混合(FOF),混合型-平衡,2021-09-16,1.1173,-2.33,0.9,3.98,1.53
5794,5794,009383,人保稳进配置三个月持有(FOF),混合型-平衡,2021-09-17,1.0624,2.02,1.89,2.72,3.68
5796,5796,009385,天弘永裕平衡养老三年持有(FOF),混合型-平衡,2021-09-16,1.1089,0.97,4.67,7.04,5.11
5827,5827,009436,长城恒泰养老2040三年持有混合(FOF),混合型-平衡,2021-09-16,0.9932,-0.74,-1.7,0.31,-1.06
5851,5851,009475,汇丰晋信慧盈混合,混合型-平衡,2021-09-22,1.0253,1.38,2.4,4.61,-1.84
5915,5915,009572,南方养老2040三年持有混合(FOF),混合型-平衡,2021-09-16,1.1082,0.81,2.36,6.69,4.58
5916,5916,009573,南方养老2045三年持有混合(FOF),混合型-平衡,2021-09-16,1.0979,0.41,2.91,5.46,1.76
5937,5937,009619,博时女性消费主题混合A,混合型-平衡,2021-09-22,0.9699,2.18,-11.47,-6.29,-9.76
5938,5938,009620,博时女性消费主题混合C,混合型-平衡,2021-09-22,0.9674,2.14,-11.55,-6.49,-9.99
5942,5942,009624,安信稳健阿尔法定开混合C,混合型-平衡,2021-09-22,1.2218,0.63,1.47,0.46,2.64
5944,5944,009626,浦银安盛养老2040三年持有混合(FOF),混合型-平衡,2021-09-16,1.0245,2.2,1.6,2.61,1.63
6073,6073,009849,安信稳健聚申一年持有期混合A,混合型-平衡,2021-09-22,1.1018,4.01,6.35,4.94,10.46
6105,6105,009884,民生加银康宁平衡养老目标三年持有混合(FOF),混合型-平衡,2021-09-17,1.0273,0.64,3.28,6.07,3.27
6143,6143,009951,广发稳健回报混合A,混合型-平衡,2021-09-22,0.9342,-1.29,-5.66,-7.97,-8.2
6144,6144,009952,广发稳健回报混合C,混合型-平衡,2021-09-22,0.9301,-1.33,-5.76,-8.16,-8.46
6215,6215,010046,博时金福安一年持有混合(FOF)A,混合型-平衡,2021-09-17,1.0888,0.81,2.67,3.92,2.63
6216,6216,010047,博时金福安一年持有混合(FOF)C,混合型-平衡,2021-09-17,1.0844,0.78,2.57,3.72,2.34
6393,6393,010323,华安平衡养老三年持有(FOF),混合型-平衡,2021-09-16,1.04,-2.16,3.68,6.67,3.13
6496,6496,010465,鹏扬景创混合A,混合型-平衡,2021-09-22,1.065,0.84,1.31,5.4,3.79
6497,6497,010466,鹏扬景创混合C,混合型-平衡,2021-09-22,1.0616,0.82,1.22,5.19,3.49
6501,6501,010478,景顺长城泰祥回报混合,混合型-平衡,2021-09-22,1.0366,0.3,1.07,2.32,2.45
6554,6554,010568,海富通惠睿精选混合A,混合型-平衡,2021-09-22,1.087,1.23,5.22,8.53,8.7
6555,6555,010569,海富通惠睿精选混合C,混合型-平衡,2021-09-22,1.0842,1.19,5.11,8.3,8.42
6685,6685,010797,长城优选回报六个月持有混合A,混合型-平衡,2021-09-22,1.0225,0.8,1.56,2.13,2.25
6686,6686,010798,长城优选回报六个月持有混合C,混合型-平衡,2021-09-22,1.0198,0.77,1.46,1.93,1.98
6711,6711,010843,富国天润回报混合A,混合型-平衡,2021-09-22,1.0617,0.89,4.49,6.3,6.17
6712,6712,010844,富国天润回报混合C,混合型-平衡,2021-09-22,1.0611,0.88,4.47,6.25,6.11
7049,7049,011336,兴全汇吉一年持有混合A,混合型-平衡,2021-09-23,1.173,3.9,13.95,21.37,17.3
7050,7050,011337,兴全汇吉一年持有混合C,混合型-平衡,2021-09-23,1.1701,6.41,14.76,21.85,17.72
7211,7211,011587,东方红欣和平衡两年混合(FOF),混合型-平衡,2021-09-10,1.0067,0.48,0.42,0.67,0.67
8057,8057,040001,华安创新混合,混合型-平衡,2021-09-22,1.377,8.34,21.97,28.57,25.64
8098,8098,050007,博时平衡配置混合,混合型-平衡,2021-09-22,1.151,-1.46,-2.7,3.41,-1.5
8127,8127,070001,嘉实成长收益混合A,混合型-平衡,2021-09-22,1.8563,0.57,-11.09,8.25,-3.6
8128,8128,070002,嘉实增长混合,混合型-平衡,2021-09-22,20.8951,-3.02,-10.23,4.84,-2.37
8129,8129,070003,嘉实稳健混合,混合型-平衡,2021-09-22,1.662,-2.01,-7.82,-9.72,-7.95
8160,8160,080001,长盛成长价值混合A,混合型-平衡,2021-09-22,1.8266,2.15,10.84,15.32,14.81
8175,8175,090006,大成2020生命周期混合,混合型-平衡,2021-09-22,0.911,1.79,3.76,6.67,6.8
8197,8197,100016,富国天源沪港深平衡混合,混合型-平衡,2021-09-22,3.327,11.35,8.97,13.74,18.78
8222,8222,110001,易方达平稳增长混合,混合型-平衡,2021-09-22,5.352,0.64,7.56,16.47,14.91
8264,8264,121002,国投瑞银景气行业混合,混合型-平衡,2021-09-22,2.3358,8.29,8.64,14.34,15.42
8279,8279,151001,银河稳健混合,混合型-平衡,2021-09-22,2.9065,3.62,17.2,29.59,15.94
8460,8460,161601,融通新蓝筹混合,混合型-平衡,2021-09-22,1.2377,-2.57,-8.17,-1.95,-6.65
8463,8463,161605,融通蓝筹成长混合,混合型-平衡,2021-09-22,1.626,-4.18,2.33,10.39,3.04
8525,8525,162102,金鹰中小盘精选混合,混合型-平衡,2021-09-22,1.3069,0.26,9.28,24.81,26.57
8535,8535,162207,泰达宏利效率优选混合,混合型-平衡,2021-09-22,1.8969,5.7,-15.47,-10.17,-16.59
8704,8704,166801,浙商聚潮新思维混合,混合型-平衡,2021-09-22,3.254,-2.19,5.58,24.63,22.75
8750,8750,180001,银华优势企业混合,混合型-平衡,2021-09-22,1.6746,-1.82,-6.69,-2.57,-5.5
8790,8790,202023,南方优选成长混合A,混合型-平衡,2021-09-22,4.676,1.04,-6.5,-1.99,-4.51
8801,8801,202212,南方平衡配置混合,混合型-平衡,2021-09-22,2.845,0.4,-3.01,7.57,0.59
8848,8848,217002,招商安泰平衡混合,混合型-平衡,2021-09-22,1.6062,6.58,10.7,7.7,19.13
8851,8851,217005,招商先锋混合,混合型-平衡,2021-09-22,1.0394,1.19,-5.0,-7.01,-9.37
8884,8884,240001,华宝宝康消费品,混合型-平衡,2021-09-22,4.1935,-2.96,-9.44,-0.18,-6.79
8913,8913,255010,国联安稳健混合,混合型-平衡,2021-09-22,1.077,-0.09,-2.18,-7.16,0.02
8923,8923,260103,景顺长城动力平衡混合,混合型-平衡,2021-09-22,1.8275,0.06,-10.91,-4.07,-5.02
8939,8939,270001,广发聚富混合,混合型-平衡,2021-09-22,1.3527,0.56,-4.63,-0.59,17.75
8940,8940,270002,广发稳健增长混合A,混合型-平衡,2021-09-22,1.5973,-1.29,-6.42,-5.38,-7.36
8966,8966,288001,华夏经典混合,混合型-平衡,2021-09-22,2.573,10.71,23.17,34.92,43.02
8984,8984,310308,申万菱信盛利精选混合,混合型-平衡,2021-09-22,1.0374,-3.18,-14.07,-3.06,-4.57
