,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
18,18,000029,富国宏观策略灵活配置混合A,混合型-灵活,2021-09-22,3.854,5.27,18.62,21.69,21.65
19,19,000030,长城核心优选混合,混合型-灵活,2021-09-22,1.6042,0.55,-5.62,3.26,-4.09
40,40,000058,国联安安泰灵活配置混合,混合型-灵活,2021-09-22,1.4834,1.33,2.54,4.0,4.8
43,43,000063,长盛电子信息主题灵活配置混合,混合型-灵活,2021-09-22,2.39,-5.91,0.46,22.44,9.53
45,45,000065,国富焦点驱动混合,混合型-灵活,2021-09-22,2.086,2.36,3.63,8.99,12.45
52,52,000072,华安稳健回报混合,混合型-灵活,2021-09-22,1.2919,1.03,1.21,4.44,5.41
53,53,000073,上投摩根成长动力混合,混合型-灵活,2021-09-22,2.956,-0.48,-8.03,17.32,8.67
91,91,000126,招商安润混合,混合型-灵活,2021-09-22,4.2335,4.58,21.46,61.32,55.11
99,99,000136,民生加银策略精选混合A,混合型-灵活,2021-09-22,5.15,3.25,3.94,9.76,3.5
112,112,000165,国投瑞银策略精选混合,混合型-灵活,2021-09-22,3.07,2.92,18.62,25.82,23.99
114,114,000167,广发聚优灵活配置混合A,混合型-灵活,2021-09-22,2.721,0.74,-16.46,-6.2,-13.18
132,132,000190,中银新回报灵活配置混合A,混合型-灵活,2021-09-22,1.699,-0.88,-1.51,-1.68,-1.39
136,136,000195,工银成长收益混合A,混合型-灵活,2021-09-22,1.486,1.3,1.85,2.34,2.91
137,137,000196,工银成长收益混合B,混合型-灵活,2021-09-22,1.437,1.27,1.63,1.99,2.5
153,153,000214,广发成长优选混合,混合型-灵活,2021-09-22,1.738,-0.74,-0.8,2.54,1.16
154,154,000215,广发趋势优选灵活配置混合A,混合型-灵活,2021-09-22,1.648,0.43,0.96,1.09,2.64
158,158,000219,博时裕益混合,混合型-灵活,2021-09-22,2.76,0.69,7.77,26.2,32.37
167,167,000241,宝盈核心优势混合C,混合型-灵活,2021-09-22,1.3567,-5.06,7.03,25.61,8.24
168,168,000242,景顺长城策略精选灵活配置混合,混合型-灵活,2021-09-22,3.116,4.04,19.2,38.43,46.64
179,179,000259,农银区间收益混合,混合型-灵活,2021-09-22,4.8895,2.05,9.19,17.0,11.82
181,181,000264,博时内需增长混合A,混合型-灵活,2021-09-22,1.802,-4.1,3.62,26.46,5.32
186,186,000270,建信灵活配置混合,混合型-灵活,2021-09-22,1.1466,1.0,4.0,2.59,1.21
189,189,000273,华润元大安鑫灵活配置混合A,混合型-灵活,2021-09-22,1.8386,1.29,-0.12,3.28,2.35
193,193,000279,华商红利优选混合,混合型-灵活,2021-09-22,0.983,-1.5,3.4,12.15,6.2
214,214,000314,招商瑞丰灵活配置混合发起式A,混合型-灵活,2021-09-22,1.751,1.04,3.73,5.67,7.69
222,222,000328,上投摩根转型动力灵活配置混合,混合型-灵活,2021-09-22,3.5734,1.82,5.85,21.52,12.37
229,229,000336,农银研究精选混合,混合型-灵活,2021-09-22,5.1195,2.17,24.35,52.14,39.5
