,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
62,62,000082,嘉实研究阿尔法股票,股票型,2021-09-22,2.057,1.38,-1.25,7.25,8.26
209,209,000309,大摩品质生活精选股票,股票型,2021-09-22,4.039,1.46,8.14,24.89,22.28
220,220,000326,南方中小盘成长股票,股票型,2021-09-22,1.7202,3.6,5.55,19.76,17.42
271,271,000409,鹏华环保产业股票,股票型,2021-09-22,5.651,2.22,24.09,56.06,35.55
273,273,000411,景顺长城优质成长股票,股票型,2021-09-22,1.81,2.61,-2.06,1.57,2.32
278,278,000418,景顺长城成长之星股票,股票型,2021-09-22,4.517,-0.44,7.45,19.31,11.7
291,291,000457,上投摩根核心成长股票,股票型,2021-09-22,2.8003,0.51,-2.52,-2.04,11.45
299,299,000471,富国城镇发展股票,股票型,2021-09-22,2.544,2.54,3.41,3.16,5.43
325,325,000513,富国高端制造行业股票,股票型,2021-09-22,3.722,-2.97,-5.15,6.89,4.2
332,332,000524,上投摩根民生需求股票,股票型,2021-09-22,3.4908,4.52,8.58,23.23,14.65
352,352,000549,华安大国新经济股票,股票型,2021-09-22,3.774,0.67,6.07,25.55,19.13
373,373,000577,安信价值精选股票,股票型,2021-09-22,4.675,1.15,-7.83,-1.81,-3.61
380,380,000586,景顺长城中小创精选股票,股票型,2021-09-22,2.694,-1.43,9.47,23.01,12.58
385,385,000592,建信改革红利股票,股票型,2021-09-22,6.757,9.28,28.0,47.37,36.89
387,387,000594,大摩进取优选股票,股票型,2021-09-22,3.197,-2.11,-10.02,-7.84,9.37
406,406,000628,大成高新技术产业股票A,股票型,2021-09-22,3.528,4.6,9.33,10.25,11.29
437,437,000688,景顺长城研究精选股票,股票型,2021-09-22,1.875,-1.42,-6.06,-2.6,-7.68
442,442,000696,汇添富环保行业股票,股票型,2021-09-22,2.945,0.93,17.19,47.4,31.59
443,443,000697,汇添富移动互联股票,股票型,2021-09-22,2.051,-3.89,-3.62,9.04,-1.11
453,453,000711,嘉实医疗保健股票,股票型,2021-09-22,3.379,8.96,-8.08,12.52,12.6
465,465,000729,建信中小盘先锋股票,股票型,2021-09-22,4.016,19.92,37.16,57.12,58.99
478,478,000746,招商行业精选股票基金,股票型,2021-09-22,4.081,1.24,-1.88,-3.13,-4.25
482,482,000751,嘉实新兴产业股票,股票型,2021-09-22,4.952,-4.29,-14.53,2.78,-8.18
486,486,000756,建信潜力新蓝筹股票,股票型,2021-09-22,3.567,19.7,30.37,46.07,47.58
489,489,000761,国富健康优质生活股票,股票型,2021-09-22,1.9224,2.67,-8.77,-3.09,-3.66
496,496,000778,鹏华先进制造股票,股票型,2021-09-22,3.174,-3.17,-4.43,-6.81,-5.28
498,498,000780,鹏华医疗保健股票,股票型,2021-09-22,2.838,9.28,-8.36,14.16,1.87
506,506,000793,工银高端制造股票,股票型,2021-09-22,2.446,2.17,18.51,41.22,17.99
513,513,000803,工银研究精选股票,股票型,2021-09-22,3.652,5.98,13.21,22.14,16.64
530,530,000828,泰达转型机遇股票A,股票型,2021-09-22,3.936,10.47,35.91,103.1,74.47
533,533,000831,工银医疗保健股票,股票型,2021-09-22,4.226,12.81,-5.37,25.66,26.83
548,548,000854,鹏华养老产业股票,股票型,2021-09-22,3.647,3.37,-14.27,-0.49,-11.05
551,551,000866,华宝制造股票,股票型,2021-09-22,2.659,5.06,21.75,22.82,26.8
552,552,000867,华宝品质生活股票,股票型,2021-09-22,2.111,-0.14,-1.22,14.79,5.71
564,564,000884,民生加银优选股票,股票型,2021-09-22,2.461,0.65,1.03,7.84,-0.36
568,568,000893,工银创新动力股票,股票型,2021-09-22,0.941,6.69,8.66,7.3,14.76
581,581,000913,农银医疗保健股票,股票型,2021-09-22,3.0506,8.81,-12.25,15.42,9.25
583,583,000916,前海开源股息率100强股票,股票型,2021-09-22,1.969,12.13,16.65,21.39,27.61
586,586,000925,汇添富外延增长股票A,股票型,2021-09-22,1.785,-1.11,-1.82,4.63,4.02
611,611,000955,南方产业活力,股票型,2021-09-22,1.688,-0.47,-10.31,-4.2,-10.21
612,612,000960,招商医药健康产业股票,股票型,2021-09-22,3.163,8.69,-8.93,3.16,3.33
622,622,000971,诺安新经济股票,股票型,2021-09-22,1.742,0.35,-4.96,10.46,1.28
625,625,000974,安信消费医药股票,股票型,2021-09-22,1.678,-1.12,-17.99,-7.85,-14.17
629,629,000978,景顺长城量化精选股票,股票型,2021-09-22,2.116,8.51,16.52,24.62,30.7
630,630,000979,景顺长城沪港深精选股票,股票型,2021-09-22,1.595,5.35,1.46,-0.06,7.55
634,634,000985,嘉实逆向策略股票,股票型,2021-09-22,2.68,1.55,10.7,25.53,25.88
639,639,000991,工银战略转型股票A,股票型,2021-09-22,3.668,1.97,7.19,8.84,19.32
644,644,000996,中银新动力股票,股票型,2021-09-22,1.286,-2.21,-11.62,1.66,-7.55
