,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
6,6,000009,易方达天天理财货币A,货币型,2021-09-22,0.0,0.17,0.51,1.03,1.57
7,7,000010,易方达天天理财货币B,货币型,2021-09-22,0.0,0.19,0.57,1.16,1.75
142,142,000203,国富日日收益货币A,货币型,2021-09-22,0.0,0.18,0.51,1.08,1.56
143,143,000204,国富日日收益货币B,货币型,2021-09-22,0.0,0.2,0.57,1.2,1.74
149,149,000210,光大现金宝货币A,货币型,2021-09-22,0.0,0.14,0.47,1.0,1.45
150,150,000211,光大现金宝货币B,货币型,2021-09-22,0.0,0.16,0.53,1.12,1.62
203,203,000300,德邦德利货币A,货币型,2021-09-22,0.0,0.14,0.45,0.93,1.38
204,204,000301,德邦德利货币B,货币型,2021-09-22,0.0,0.16,0.51,1.05,1.56
218,218,000324,华润元大现金收益货币A,货币型,2021-09-22,0.0,0.1,0.35,0.72,1.09
219,219,000325,华润元大现金收益货币B,货币型,2021-09-22,0.0,0.12,0.41,0.84,1.26
224,224,000331,中加货币A,货币型,2021-09-22,0.0,0.17,0.51,1.01,1.43
225,225,000332,中加货币C,货币型,2021-09-22,0.0,0.19,0.57,1.13,1.6
234,234,000343,华夏财富宝货币A,货币型,2021-09-22,0.0,0.17,0.52,1.08,1.64
245,245,000366,汇添富添富通货币A,货币型,2021-09-22,0.0,0.14,0.42,0.83,1.24
255,255,000379,平安日增利货币A,货币型,2021-09-22,0.0,0.17,0.51,1.05,1.56
256,256,000380,景顺长城景益货币A,货币型,2021-09-22,0.0,0.17,0.52,1.06,1.57
257,257,000381,景顺长城景益货币B,货币型,2021-09-22,0.0,0.19,0.58,1.18,1.75
282,282,000424,长盛添利宝货币A,货币型,2021-09-22,0.0,0.17,0.49,1.0,1.5
283,283,000425,长盛添利宝货币B,货币型,2021-09-22,0.0,0.19,0.56,1.13,1.68
287,287,000434,新华壹诺宝货币A,货币型,2021-09-22,0.0,0.16,0.49,0.94,1.4
289,289,000439,国金鑫盈货币,货币型,2021-09-22,0.0,0.06,0.2,0.46,0.79
295,295,000464,嘉实活期宝货币,货币型,2021-09-22,0.0,0.19,0.55,1.14,1.68
300,300,000475,广发天天利货币A,货币型,2021-09-22,0.0,0.16,0.48,1.03,1.57
301,301,000476,广发天天利货币B,货币型,2021-09-22,0.0,0.18,0.54,1.15,1.74
306,306,000483,鑫元货币A,货币型,2021-09-22,0.0,0.16,0.5,0.98,1.44
307,307,000484,鑫元货币B,货币型,2021-09-22,0.0,0.18,0.56,1.1,1.62
318,318,000505,国寿安保货币A,货币型,2021-09-22,0.0,0.18,0.54,1.09,1.63
319,319,000506,国寿安保货币B,货币型,2021-09-22,0.0,0.2,0.6,1.22,1.81
322,322,000509,广发钱袋子货币A,货币型,2021-09-22,0.0,0.17,0.5,1.06,1.6
339,339,000533,永赢货币A,货币型,2021-09-22,0.0,0.26,0.65,1.28,1.86
344,344,000539,中银活期宝货币,货币型,2021-09-22,0.0,0.18,0.53,1.09,1.62
346,346,000542,上银慧财宝货币A,货币型,2021-09-22,0.0,0.17,0.51,1.05,1.59
347,347,000543,上银慧财宝货币B,货币型,2021-09-22,0.0,0.19,0.57,1.17,1.76
351,351,000548,鹏华聚财通货币,货币型,2021-09-22,0.0,0.18,0.54,1.14,1.68
360,360,000559,诺安天天宝A,货币型,2021-09-22,0.0,0.17,0.52,1.07,1.55
361,361,000560,诺安天天宝E,货币型,2021-09-22,0.0,0.18,0.55,1.14,1.67
368,368,000569,鹏华增值宝货币,货币型,2021-09-22,0.0,0.17,0.53,1.09,1.65
372,372,000576,中邮货币A,货币型,2021-09-22,0.0,0.15,0.46,0.87,1.28
376,376,000580,中邮货币B,货币型,2021-09-22,0.0,0.17,0.52,1.0,1.45
394,394,000604,银华多利宝货币A,货币型,2021-09-22,0.0,0.17,0.51,1.05,1.55
395,395,000605,银华多利宝货币B,货币型,2021-09-22,0.0,0.19,0.57,1.18,1.73
401,401,000615,长城工资宝货币A,货币型,2021-09-22,0.0,0.18,0.54,1.09,1.56
403,403,000625,诺安天天宝B,货币型,2021-09-22,0.0,0.18,0.55,1.14,1.67
404,404,000626,大成丰财宝货币A,货币型,2021-09-22,0.0,0.18,0.55,1.12,1.68
405,405,000627,大成丰财宝货币B,货币型,2021-09-22,0.0,0.2,0.61,1.24,1.86
408,408,000638,富国富钱包货币A,货币型,2021-09-22,0.0,0.18,0.52,1.08,1.64
410,410,000640,诺安理财宝货币A,货币型,2021-09-22,0.0,0.17,0.53,1.1,1.59
411,411,000644,招商招金宝货币A,货币型,2021-09-22,0.0,0.16,0.49,1.02,1.49
413,413,000647,易方达财富快线货币A,货币型,2021-09-22,0.0,0.17,0.52,1.06,1.6
414,414,000648,易方达财富快线货币B,货币型,2021-09-22,0.0,0.19,0.58,1.19,1.78
416,416,000651,招商招金宝货币B,货币型,2021-09-22,0.0,0.18,0.55,1.14,1.67
421,421,000662,银华活钱宝货币F,货币型,2021-09-22,0.0,0.2,0.61,1.24,1.84
424,424,000665,博时现金收益货币B,货币型,2021-09-22,0.0,0.19,0.56,1.16,1.74
431,431,000678,华宝现金宝货币E,货币型,2021-09-22,0.0,0.19,0.57,1.17,1.78
433,433,000681,信达澳银慧管家货币A,货币型,2021-09-22,0.0,0.17,0.5,1.02,1.51
434,434,000682,信达澳银慧管家货币C,货币型,2021-09-22,0.0,0.18,0.54,1.09,1.62
435,435,000683,信达澳银慧管家货币E,货币型,2021-09-22,0.0,0.17,0.5,1.02,1.48
445,445,000699,中银薪钱包货币,货币型,2021-09-22,0.0,0.18,0.54,1.11,1.63
446,446,000700,泰达宏利货币B,货币型,2021-09-22,0.0,0.21,0.61,1.26,1.88
447,447,000701,景顺长城景丰货币A,货币型,2021-09-22,0.0,0.18,0.53,1.08,1.58
448,448,000704,易方达天天增利货币A,货币型,2021-09-22,0.0,0.17,0.5,1.02,1.53
449,449,000705,易方达天天增利货币B,货币型,2021-09-22,0.0,0.19,0.56,1.14,1.7
451,451,000707,景顺长城景丰货币B,货币型,2021-09-22,0.0,0.2,0.59,1.2,1.76
458,458,000721,兴业货币A,货币型,2021-09-22,0.0,0.13,0.4,0.76,1.15
459,459,000722,兴业货币B,货币型,2021-09-22,0.0,0.15,0.46,0.88,1.32
460,460,000724,大成添利宝货币A,货币型,2021-09-22,0.0,0.14,0.43,0.88,1.34
461,461,000725,大成添利宝货币B,货币型,2021-09-22,0.0,0.16,0.49,1.0,1.52
462,462,000726,大成添利宝货币E,货币型,2021-09-22,0.0,0.15,0.46,0.93,1.42
466,466,000730,博时现金宝货币A,货币型,2021-09-22,0.0,0.18,0.54,1.11,1.67
467,467,000734,博时天天增利货币A,货币型,2021-09-22,0.0,0.16,0.48,1.02,1.56
468,468,000735,博时天天增利货币B,货币型,2021-09-22,0.0,0.18,0.54,1.15,1.74
472,472,000740,兴银货币B,货币型,2021-09-22,0.0,0.15,0.47,0.98,1.53
473,473,000741,兴银货币A,货币型,2021-09-22,0.0,0.14,0.42,0.88,1.38
480,480,000748,广发活期宝货币A,货币型,2021-09-22,0.0,0.19,0.57,1.17,1.77
481,481,000750,安信现金增利货币A,货币型,2021-09-22,0.0,0.17,0.5,0.99,1.39
488,488,000759,平安财富宝货币A,货币型,2021-09-22,0.0,0.21,0.63,1.28,1.88
493,493,000771,诺安聚鑫宝货币A,货币型,2021-09-22,0.0,0.17,0.52,1.05,1.59
495,495,000773,万家现金宝A,货币型,2021-09-22,0.0,0.16,0.5,1.03,1.53
497,497,000779,诺安聚鑫宝货币B,货币型,2021-09-22,0.0,0.17,0.52,1.05,1.59
502,502,000789,易方达龙宝货币A,货币型,2021-09-22,0.0,0.14,0.47,1.01,1.54
503,503,000790,易方达龙宝货币B,货币型,2021-09-22,0.0,0.16,0.54,1.13,1.72
